arm,entry,exit,S0,Sx,rolls,credit0,pnl_sek,fees
static,2010-02-09,2010-03-24,945,1027,0,875,91,76
static,2010-03-25,2010-05-11,1033,993,0,578,502,76
static,2010-05-12,2010-06-28,1010,1026,0,1880,1804,76
static,2010-06-29,2010-08-11,994,1036,0,1527,1451,76
static,2010-08-12,2010-09-24,1031,1096,0,1319,1243,76
static,2010-09-27,2010-11-09,1086,1113,0,1147,1071,76
static,2010-11-10,2010-12-23,1106,1161,0,982,906,76
static,2010-12-27,2011-02-10,1160,1127,0,1003,927,76
static,2011-02-11,2011-03-28,1140,1132,0,1426,1350,76
static,2011-03-29,2011-05-13,1131,1167,0,1360,1284,76
static,2011-05-16,2011-07-01,1173,1118,0,1200,929,76
static,2011-07-04,2011-08-16,1126,957,0,1782,-6557,76
static,2011-08-17,2011-09-29,958,930,0,1602,1526,76
static,2011-09-30,2011-11-14,910,963,0,2048,1972,76
static,2011-11-15,2011-12-29,959,978,0,1619,1543,76
static,2011-12-30,2012-02-15,988,1083,0,1477,1131,76
static,2012-02-16,2012-03-30,1088,1074,0,1043,967,76
static,2012-04-02,2012-05-21,1086,976,0,1629,-850,76
static,2012-05-22,2012-07-06,1001,1024,0,1696,1620,76
static,2012-07-09,2012-08-21,1020,1085,0,1378,1302,76
static,2012-08-22,2012-10-04,1062,1083,0,1039,963,76
static,2012-10-05,2012-11-19,1094,1051,0,1361,1285,76
static,2012-11-20,2013-01-09,1054,1128,0,1119,276,76
static,2013-01-10,2013-02-22,1127,1205,0,1029,-1556,76
static,2013-02-25,2013-04-11,1199,1196,0,1050,974,76
static,2013-04-12,2013-05-30,1185,1225,0,1148,1072,76
static,2013-05-31,2013-07-16,1215,1213,0,1049,973,76
static,2013-07-17,2013-08-29,1211,1224,0,1525,1449,76
static,2013-08-30,2013-10-14,1214,1259,0,1304,1228,76
static,2013-10-15,2013-11-27,1265,1310,0,1060,984,76
static,2013-11-28,2014-01-20,1315,1351,0,620,544,76
static,2014-01-21,2014-03-05,1350,1365,0,1110,1034,76
static,2014-03-06,2014-04-22,1374,1369,0,1255,1179,76
static,2014-04-23,2014-06-10,1353,1406,0,1405,1329,76
static,2014-06-11,2014-07-25,1400,1404,0,808,732,76
static,2014-07-28,2014-09-09,1401,1383,0,1236,1160,76
static,2014-09-10,2014-10-23,1387,1362,0,1011,935,76
static,2014-10-24,2014-12-08,1359,1468,0,1702,1626,76
static,2014-12-09,2015-01-29,1452,1570,0,1387,272,76
static,2015-01-30,2015-03-16,1574,1690,0,1715,1639,76
static,2015-03-17,2015-05-04,1676,1634,0,1408,1332,76
static,2015-05-05,2015-06-18,1595,1562,0,1850,1774,76
static,2015-06-22,2015-08-04,1607,1612,0,1634,1558,76
static,2015-08-05,2015-09-17,1627,1486,0,1742,-1688,76
static,2015-09-18,2015-11-02,1453,1502,0,2037,1961,76
static,2015-11-03,2015-12-16,1507,1428,0,1369,1293,76
static,2015-12-17,2016-02-05,1438,1330,0,1813,748,76
static,2016-02-08,2016-03-22,1274,1382,0,1964,1888,76
static,2016-03-23,2016-05-10,1368,1333,0,1378,1302,76
static,2016-05-11,2016-06-27,1326,1246,0,1443,1367,76
static,2016-06-28,2016-08-10,1279,1406,0,2266,2190,76
static,2016-08-11,2016-09-23,1417,1438,0,1065,989,76
static,2016-09-26,2016-11-08,1418,1439,0,1360,1284,76
static,2016-11-09,2016-12-22,1457,1520,0,1349,1273,76
static,2016-12-23,2017-02-08,1526,1549,0,1358,1282,76
static,2017-02-09,2017-03-24,1558,1580,0,1136,1060,76
static,2017-03-27,2017-05-12,1575,1646,0,1259,538,76
static,2017-05-15,2017-06-30,1650,1603,0,1121,1045,76
static,2017-07-03,2017-08-15,1627,1543,0,1419,-320,76
static,2017-08-16,2017-09-28,1552,1625,0,1312,1236,76
static,2017-09-29,2017-11-13,1638,1631,0,1022,946,76
static,2017-11-14,2017-12-29,1628,1577,0,1252,870,76
static,2018-01-02,2018-02-14,1580,1532,0,1256,1180,76
static,2018-02-15,2018-04-03,1543,1509,0,1739,1663,76
static,2018-04-04,2018-05-21,1495,1626,0,1382,681,76
static,2018-05-22,2018-07-06,1624,1524,0,1487,-172,76
static,2018-07-09,2018-08-21,1541,1638,0,1488,1412,76
static,2018-08-22,2018-10-04,1643,1649,0,1290,1214,76
static,2018-10-05,2018-11-19,1635,1482,0,1162,-6665,76
static,2018-11-20,2019-01-09,1457,1471,0,1489,1413,76
static,2019-01-10,2019-02-22,1471,1589,0,1810,1734,76
static,2019-02-25,2019-04-09,1587,1617,0,1112,1036,76
static,2019-04-10,2019-05-28,1629,1565,0,1275,1199,76
static,2019-05-29,2019-07-18,1539,1577,0,1614,1538,76
static,2019-07-19,2019-09-03,1605,1569,0,1436,1360,76
static,2019-09-04,2019-10-17,1581,1683,0,1770,1694,76
static,2019-10-18,2019-12-02,1698,1707,0,1850,1774,76
static,2019-12-03,2020-01-23,1698,1795,0,1098,-521,76
static,2020-01-24,2020-03-09,1813,1542,0,1524,-8552,76
static,2020-03-10,2020-04-24,1534,1514,0,2125,2049,76
static,2020-04-27,2020-06-11,1540,1609,0,2218,2142,76
static,2020-06-12,2020-07-28,1609,1754,0,2097,2021,76
static,2020-07-29,2020-09-10,1761,1803,0,1724,1648,76
static,2020-09-11,2020-10-26,1801,1775,0,1806,1730,76
static,2020-10-27,2020-12-09,1764,1926,0,1597,-3121,76
static,2020-12-10,2021-01-29,1907,1949,0,1342,1266,76
static,2021-02-01,2021-03-17,1978,2173,0,1902,-5460,76
static,2021-03-18,2021-05-04,2180,2195,0,2021,1945,76
static,2021-05-05,2021-06-18,2255,2248,0,2072,1996,76
static,2021-06-21,2021-08-04,2266,2393,0,1477,-1909,76
static,2021-08-05,2021-09-17,2394,2324,0,1934,1858,76
static,2021-09-20,2021-11-02,2272,2303,0,1710,1634,76
