top_n,mom_w,reb_w,buf,stop,final,cagr,sharpe,max_dd,monthly,fees,trades,buys,stops,exits
4,12,1,4,0.15,481345.937939993,0.15529539293681593,0.8540709467523837,-0.28725678230662943,2919.3201675172377,48581.471886285784,572,288,9,275
4,12,1,4,0.1,481077.01028789417,0.15523608330340344,0.8536045699379959,-0.2873106906766749,2917.261443822379,48682.806034432404,574,289,21,264
4,8,2,4,0.1,476731.63310600526,0.15311605487205449,0.8456889093561414,-0.23886187333086917,2863.828442223785,51488.06538223023,602,303,31,268
4,8,2,4,0.15,476584.8660936573,0.15308366685056574,0.843953302855517,-0.24407383006559014,2862.712752678745,50476.33800218293,592,298,9,285
4,12,4,4,0.1,473878.4941445971,0.15363721772108274,0.8634055842559795,-0.26258790254321684,2862.154593945215,32746.07450850963,388,196,30,162
4,12,1,8,0.15,468645.6374637984,0.15246104136868288,0.8304487311637262,-0.328416403441388,2822.095470398482,39049.75279689789,438,221,9,208
4,12,1,8,0.1,467994.28869056323,0.1523138055901958,0.8296435850324251,-0.3295436912273547,2817.1091956788277,39450.96790314102,442,223,23,196
4,12,4,4,0.15,465754.0464023712,0.15180597965280995,0.8421252436109804,-0.26057955876340866,2799.95945356443,32322.398851000766,386,195,16,175
4,8,4,4,0.15,466076.1900208207,0.1507407557217335,0.8243866369794456,-0.2754511829135482,2782.8281802594233,44711.5180337219,498,251,8,239
4,12,4,8,0.1,448624.0676061087,0.14784787103642083,0.8268418239730955,-0.3376809728888541,2668.824209698424,27412.774282319067,302,153,27,122
4,8,4,8,0.15,443182.80470863136,0.14546577898145308,0.8035181743772716,-0.27654062694058257,2608.797856723019,36021.99708542062,368,186,11,171
4,8,2,8,0.15,442669.7240906275,0.14534474437752687,0.8051306636457134,-0.27782126207510505,2604.897534217901,40189.760762163154,468,236,10,222
4,12,2,4,0.1,434536.6470538645,0.14448855804458804,0.8075939013729094,-0.28021170686152785,2560.980682772133,41247.79152760218,488,246,31,211
4,8,2,8,0.1,432503.9904758035,0.14291999835535596,0.7961588374253448,-0.2844452149934914,2527.619932594223,40978.24200996778,476,240,23,213
4,26,4,8,0.15,412740.8129883775,0.14284588228289286,0.7462362724182505,-0.2692861825748393,2454.6282865739404,16644.365240000723,248,126,8,114
4,8,4,4,0.1,417655.9966002465,0.13928368357382603,0.7936258957778147,-0.23802994290178314,2414.748850279721,43610.62578763965,508,256,28,224
4,12,2,4,0.15,413088.8950091698,0.1391791459577132,0.7812944334529925,-0.2903063348268592,2396.7915598193176,39589.87831579682,486,245,12,229
4,12,2,8,0.15,407573.55911093054,0.13777338424236918,0.7699059526019331,-0.29922279417636855,2354.5699711868583,31043.065435120578,374,189,11,174
4,8,1,8,0.15,406382.6805855771,0.1364434941391417,0.7607564185092736,-0.32407363248853527,2329.0516584224533,43750.14429406927,550,277,8,265
4,8,4,8,0.1,405087.6680874128,0.13611265837704734,0.7833544613443805,-0.30587127226767896,2319.207267085571,34585.01907117179,378,191,30,157
4,12,2,8,0.1,397463.6274582606,0.1351510758257064,0.7584981547880385,-0.3045320874742454,2277.175342243664,31162.17485649778,380,192,29,159
4,12,4,8,0.15,389114.34212459094,0.13293936717738353,0.7434461776021158,-0.32433895811849756,2213.259001110975,24051.20495068073,304,154,15,135
4,8,1,8,0.1,390958.06434863975,0.13243914136625423,0.7438761770506817,-0.3279900276150882,2211.797223679251,44059.74278122045,560,282,27,251
4,26,4,4,0.15,376025.994500663,0.13286192214069037,0.7184987217037203,-0.26374164039500303,2166.4624052640356,19002.181845162395,306,155,10,141
4,8,4,0,0.1,381976.85547138477,0.1300409039970496,0.7764071262981266,-0.29666754439433973,2143.5241104920765,53381.86384986588,686,345,34,307
4,8,4,0,0.15,381824.2151186984,0.12999970359044788,0.7552529136540022,-0.2667888917122443,2142.3637731457,52247.60965699767,680,342,13,325
4,12,4,0,0.15,379693.57518796605,0.13039147023782083,0.745131431779006,-0.2517891712888648,2141.140139533128,44975.87445230769,572,288,20,264
4,12,2,0,0.15,377685.56430454797,0.12984097865024724,0.744356312334616,-0.2887752905396944,2125.768200080402,59226.44637660452,830,417,11,402
4,12,2,0,0.1,376956.6723304412,0.12964049690815171,0.7474234212347763,-0.29659953081216683,2120.188308364639,60011.2432636599,838,421,37,380
6,26,4,8,0.1,364823.01087949466,0.12963930987335837,0.7868796241527808,-0.262182173825419,2078.53285034673,15945.916406653401,344,175,33,136
4,26,4,4,0.1,364463.6067826348,0.12953444817956683,0.710312923608992,-0.2724873255198017,2075.7119730393106,19404.510242740642,310,157,22,131
6,26,4,8,0.15,363096.2069433393,0.1291346301684677,0.7741676202605527,-0.2793348400167731,2064.9795768019317,15610.205030613895,340,173,11,156
4,26,4,8,0.1,361726.9286035843,0.12873289386419517,0.6919928720830615,-0.3348071576971867,2054.2324366610615,16873.34475762177,260,132,27,101
4,12,1,0,0.15,365717.4391043206,0.1265037319033393,0.733206485964571,-0.3083608085149242,2034.1485293606033,86039.56471514516,1238,621,8,609
4,12,1,0,0.1,365716.53466761595,0.1265034759802437,0.7330004070988183,-0.30838677336379194,2034.1416056201108,86598.31754433637,1246,625,28,593
6,12,2,4,0.15,364961.78131532285,0.12628970726021604,0.7903368755418227,-0.2579822046610264,2028.3637371189989,34295.26908636473,672,339,14,319
6,26,4,4,0.15,356914.7913206197,0.1273100350933527,0.7843924203140876,-0.28958421431843695,2016.4631152195363,18935.88818758965,422,214,14,194
6,12,1,4,0.15,363168.6724055509,0.1257802308668352,0.7931042671071916,-0.2530706066659879,2014.6369382152807,39290.1688343782,800,403,8,389
6,12,1,4,0.1,363168.67240555084,0.1257802308668352,0.7931042671071918,-0.25307060666598813,2014.6369382152802,39290.1688343782,800,403,29,368
6,12,2,4,0.1,359932.92683267005,0.1248550494748637,0.7878713639780047,-0.24283518080102195,1989.8663129953206,34039.157891756055,672,339,39,294
4,12,4,0,0.1,356877.1121361533,0.1239743537161826,0.7343083673052039,-0.2789725448134114,1966.473113844106,44673.00714943032,580,292,40,248
6,26,4,4,0.1,341061.76447125815,0.12249640216979363,0.7672073144508814,-0.2800214258309307,1892.0364765585148,18769.715759073264,426,216,33,177
8,26,4,8,0.15,339371.2380238171,0.12197119185751815,0.7848656344849327,-0.29597431746542013,1878.7679363976101,16937.88819879341,424,216,14,194
8,26,4,4,0.15,334588.13185864064,0.12047224081605079,0.776547025024392,-0.30319251964507055,1841.2264732974147,19987.73309726143,502,255,16,231
