lookback_d,stop,max_hold_d,trend,final,cagr,sharpe,max_dd,monthly,trades_yr,win_rate,avg_hold_d,fees,buys
40,0.03,60,False,144150.99018827057,0.03281322075277604,0.2790816826090566,-0.29086833996590955,324.83581432329845,159.44923857868022,0.5830094392004442,6.598556357579123,140675.5103887024,1806
90,0.03,60,False,137914.98433303833,0.029320444788105693,0.26191323919793225,-0.2631212598901457,284.0357705234689,80.81706866847158,0.5295429208472687,11.162764771460424,70044.0,899
90,0.05,60,False,133442.3920917511,0.02627439071223514,0.24260582314825735,-0.2671087753477226,250.52985707424907,79.19892936254,0.5290102389078498,11.440273037542662,68640.0,881
90,0.05,60,True,130518.63633728027,0.024232542094608345,0.33958472756861074,-0.1812745670288639,228.62687509622648,23.283226679793255,0.5697674418604651,14.833333333333334,20163.0,259
90,0.03,60,True,126613.99593162537,0.0214397639841295,0.3179788051976527,-0.18385421110982636,199.3757078928986,24.092296332759044,0.5692883895131086,13.880149812734082,20865.0,268
60,0.05,60,True,120224.90213680267,0.016507820790396366,0.2013353473678653,-0.3371243793682529,149.81636865148002,57.95643708931613,0.5615384615384615,9.695384615384615,50778.0,652
90,0.05,30,False,116850.66576576233,0.014097742764792809,0.1692505042076405,-0.26086844686050503,126.23483614210949,96.63887521535811,0.5340167753960857,8.183597390493942,83772.0,1075
40,0.05,60,False,116230.02939224243,0.013367254173393128,0.16334795969639848,-0.30993067784518213,119.41056795416462,154.76994198694706,0.5806636155606407,6.8461098398169336,136539.0,1753
90,0.03,15,False,107077.3574295044,0.006166186276439278,0.113107247888987,-0.24138960851230706,53.01921406855525,121.1806546886537,0.5356612184249628,5.343239227340267,105066.0,1348
60,0.03,60,True,105867.23382663727,0.005080996190870657,0.10187762137607817,-0.33395725886927774,43.461652372419536,60.62314431735215,0.5602941176470588,9.001470588235295,53118.0,682
90,0.05,30,True,98518.18766212463,-0.0013411673587654382,0.01155389771594569,-0.18859112578188686,-11.100827721900432,25.081159241939453,0.5412186379928315,9.329749103942651,21762.0,279
90,0.05,15,False,94708.3103466034,-0.004875614415898899,0.030272258559185694,-0.27494073545949216,-39.64208806922451,119.20292887029288,0.5354984894259819,5.424471299093655,103350.0,1326
90,0.03,30,True,92213.95362854004,-0.007260421016338725,-0.08681462536895376,-0.19152315114785068,-58.32827625678379,25.890228894905242,0.5381944444444444,8.92013888888889,22464.0,288
40,0.05,60,True,90387.55513000488,-0.00888307487858453,-0.009534740852961564,-0.3500429039578764,-70.72245364526864,98.70667150108775,0.5982062780269058,7.154260089686098,87087.0,1118
90,0.03,30,False,88156.07977104187,-0.011268515845082705,-0.0051407617389464455,-0.3181855003757501,-88.72737434627443,101.76298301747477,0.5265486725663717,7.665486725663717,88218.0,1132
40,0.03,60,True,80055.56201839447,-0.019448134439004172,-0.09849570411181471,-0.3753714952019501,-146.73890042666628,100.82559825960841,0.5970149253731343,6.870939420544337,88959.0,1142
90,0.05,15,True,77829.0391254425,-0.022281116686223346,-0.44084952538790223,-0.25641273166977574,-166.09121871015105,27.50836820083682,0.5588235294117647,5.803921568627451,23868.0,306
60,0.03,60,False,75840.57554721832,-0.024281754725251514,-0.061129895819819036,-0.40766702428098656,-178.96142170395288,112.62393526405451,0.5482594936708861,8.763449367088608,98709.0,1267
90,0.03,15,True,75665.40191459656,-0.02475601700759189,-0.493572678768435,-0.2763173649598788,-182.2998595186973,28.227541225695298,0.554140127388535,5.649681528662421,24492.0,314
60,0.05,60,False,72087.45464897156,-0.028673776743582513,-0.09084413382306464,-0.4216888456396326,-206.76274011241867,110.13500851788756,0.5444983818770227,8.98462783171521,96525.0,1239
40,0.05,30,False,67174.30115699768,-0.03451838980253197,-0.13872777360441957,-0.4119915539024155,-241.51129043603655,168.45467730239304,0.5654230162900683,6.02154492905938,148629.0,1908
60,0.05,30,True,67087.50428009033,-0.03486040439695193,-0.3278995872205368,-0.4269005253189212,-243.79997285829901,63.912083231929905,0.5354659248956884,6.730180806675939,56082.0,719
60,0.03,30,True,63114.88441371918,-0.04008303597145835,-0.3886601068654139,-0.4399063747842231,-273.22723428021965,65.68988805062058,0.5399188092016238,6.45872801082544,57642.0,739
60,0.05,15,True,57244.90788650513,-0.048376471623452266,-0.5716855020042423,-0.4950771054420363,-316.7092032622293,71.28997322949623,0.5374064837905237,4.65211970074813,62556.0,802
60,0.03,15,True,56471.23697471619,-0.049526814923102735,-0.5929083398330017,-0.5022331075384525,-322.44018607497594,72.26776587977609,0.5399753997539976,4.519065190651906,63414.0,813
40,0.03,30,False,55547.484457969666,-0.05058350416349022,-0.24412325209393151,-0.4968400786606979,-327.0542523109858,177.6366932559826,0.5645241654210265,5.661185849526657,156741.0,2012
60,0.03,15,False,54666.01056957245,-0.052267803476326646,-0.2952464388908102,-0.5088468243513748,-335.8124369161934,160.44688488683377,0.5330005546311702,4.846921797004992,140712.0,1805
60,0.05,30,False,53366.0964345932,-0.0542930973059399,-0.27243658612036725,-0.5051636888825645,-345.4415769705694,130.84643465563397,0.5346938775510204,7.000680272108844,114738.0,1472
60,0.05,15,False,45929.924553871155,-0.06682389815655743,-0.396097039507228,-0.5829993272273065,-400.5251694795685,158.93575079094668,0.5302351623740201,4.90481522956327,139386.0,1788
40,0.05,30,True,43048.062834739685,-0.07171299364266148,-0.6139953623629842,-0.6090169492838533,-419.01730419811724,104.2688542422045,0.5840407470288624,5.825976230899831,92001.0,1181
40,0.03,30,True,39079.150155067444,-0.07960680503656226,-0.6894352743553526,-0.6459621507357027,-448.2181211397473,106.82922407541697,0.5832642916321458,5.659486329743165,94263.0,1210
60,0.03,30,False,38142.90733528137,-0.0821076058980017,-0.4675994835069217,-0.6380196211648395,-458.20765587305266,135.6465076660988,0.5393700787401575,6.65748031496063,118950.0,1526
40,0.05,15,False,34305.03198623657,-0.09013410540434186,-0.5256960984987914,-0.698062122295772,-483.34314452959256,208.89086294416245,0.55,4.4271186440677965,184314.0,2366
