ticker,buy_date,buy_price,shares,invested_sek,final_date,final_price,final_value_sek,total_return_pct
EVO.ST,2015-10-16,46.2,83.254,3846.0,2026-07-03,678.4,56480.0,1368.5
ADDT-B.ST,2015-10-16,23.37,164.566,3846.0,2026-07-03,339.6,55887.0,1353.1
SAAB-B.ST,2015-10-16,46.72,82.316,3846.0,2026-07-03,498.85,41064.0,967.7
LIFCO-B.ST,2015-10-16,32.13,119.706,3846.0,2026-07-03,315.8,37803.0,882.9
ABB.ST,2015-10-16,138.82,27.707,3846.0,2026-07-03,1025.0,28400.0,638.4
SAND.ST,2015-10-16,55.38,69.448,3846.0,2026-07-03,389.8,27071.0,603.8
VOLV-B.ST,2015-10-16,46.79,82.199,3846.0,2026-07-03,323.5,26592.0,591.4
INVE-B.ST,2015-10-16,59.67,64.452,3846.0,2026-07-03,397.0,25587.0,565.3
ATCO-A.ST,2015-10-16,29.46,130.543,3846.0,2026-07-03,191.6,25012.0,550.3
BOL.ST,2015-10-16,104.28,36.884,3846.0,2026-07-03,533.8,19689.0,411.9
ALFA.ST,2015-10-16,112.27,34.258,3846.0,2026-07-03,565.8,19383.0,404.0
TEL2-B.ST,2015-10-16,35.19,109.305,3846.0,2026-07-03,173.65,18981.0,393.5
SWED-A.ST,2015-10-16,89.93,42.767,3846.0,2026-07-03,358.6,15336.0,298.7
SEB-A.ST,2015-10-16,48.15,79.881,3846.0,2026-07-03,190.85,15245.0,296.4
AZN.ST,2015-10-16,492.02,7.817,3846.0,2026-07-03,1842.5,14403.0,274.5
SCA-B.ST,2015-10-16,31.96,120.347,3846.0,2026-07-03,98.74,11883.0,209.0
ASSA-B.ST,2015-10-16,124.9,30.794,3846.0,2026-07-03,340.1,10473.0,172.3
SHB-A.ST,2015-10-16,54.06,71.142,3846.0,2026-07-03,141.6,10074.0,161.9
SKA-B.ST,2015-10-16,98.16,39.183,3846.0,2026-07-03,257.0,10070.0,161.8
NIBE-B.ST,2015-10-16,14.44,266.42,3846.0,2026-07-03,35.7,9511.0,147.3
SKF-B.ST,2015-10-16,100.8,38.158,3846.0,2026-07-03,243.9,9307.0,142.0
HEXA-B.ST,2015-10-16,35.85,107.289,3846.0,2026-07-03,80.58,8645.0,124.8
TELIA.ST,2015-10-16,22.43,171.455,3846.0,2026-07-03,48.28,8278.0,115.2
NDA-SE.ST,2015-10-16,90.68,42.415,3846.0,2026-07-03,182.1,7724.0,100.8
ERIC-B.ST,2015-10-16,64.08,60.018,3846.0,2026-07-03,107.9,6476.0,68.4
HM-B.ST,2015-10-16,201.0,19.135,3846.0,2026-07-03,166.05,3177.0,-17.4
