date,equity,cash
2015-02-02,49792.44191241151,50535.74337434635
2015-02-03,49798.53189329168,50535.74337434635
2015-02-04,50117.63617009548,50535.74337434635
2015-02-05,50254.18182133924,50535.74337434635
2015-02-06,50236.85290596803,50535.74337434635
2015-02-09,50330.42351737083,50535.74337434635
2015-02-10,50281.44281869725,50535.74337434635
2015-02-11,50150.96005020459,50332.545411854226
2015-02-12,49923.52294315183,50332.545411854226
2015-02-13,49649.081198203,50332.545411854226
2015-02-16,49641.95333150917,50332.545411854226
2015-02-17,49901.736186428396,50332.545411854226
2015-02-18,49319.72053266043,50414.978316226174
2015-02-19,49084.59267949693,50321.15153928446
2015-02-20,48577.1565866524,48844.65826398968
2015-02-23,48564.46162120676,48844.65826398968
2015-02-24,48668.53484991154,48844.65826398968
2015-02-25,48763.26046075905,48844.65826398968
2015-02-26,48755.92743789971,48844.65826398968
2015-02-27,48744.333510552075,48844.65826398968
2015-03-02,48784.030482330265,48844.65826398968
2015-03-03,48495.65402259005,48675.366523583936
2015-03-04,48555.892133356785,48675.366523583936
2015-03-05,48567.3013660357,48675.366523583936
2015-03-06,48603.38797747246,48675.366523583936
2015-03-09,48629.23957864522,48675.366523583936
2015-03-10,48597.675651303296,48675.366523583936
2015-03-11,48635.7448772784,48675.366523583936
2015-03-12,48343.156730412156,48442.89578987764
2015-03-13,48378.753941472794,48442.89578987764
2015-03-16,48218.788534769395,48442.89578987764
2015-03-17,48343.78575463285,48442.89578987764
2015-03-18,48080.839001406275,48442.89578987764
2015-03-19,48080.03280335303,48442.89578987764
2015-03-20,48075.699762752745,48442.89578987764
2015-03-23,47957.72434634533,48110.058758365856
2015-03-24,47980.359557391304,48110.058758365856
2015-03-25,48010.1250264648,48110.058758365856
2015-03-26,47956.69709668353,48110.058758365856
2015-03-27,47877.20875706697,48110.058758365856
2015-03-30,48008.01746778329,48110.058758365856
2015-03-31,47964.30818427601,48110.058758365856
2015-04-01,47674.49509254028,47920.52172126646
2015-04-02,47695.48094543322,47920.52172126646
2015-04-07,47527.52371047844,47920.52172126646
2015-04-08,47661.244777908076,47920.52172126646
2015-04-09,47662.162201977386,47920.52172126646
2015-04-10,47700.02004543889,47920.52172126646
2015-04-13,47738.6852392321,47920.52172126646
2015-04-14,47434.61946659448,47650.91738220431
2015-04-15,47493.89875683132,47650.91738220431
2015-04-16,47522.83505365746,47650.91738220431
2015-04-17,47225.427363395575,47650.91738220431
2015-04-20,47452.62323587693,47650.91738220431
2015-04-21,47527.95444272879,47650.91738220431
2015-04-22,47555.2530483012,47650.91738220431
2015-04-23,47233.75563988047,47600.93415089621
2015-04-24,47250.597798846386,47600.93415089621
2015-04-27,47112.631434103496,47600.93415089621
