date,equity,cash
2015-02-02,500000.0,500000.0
2015-02-03,500000.0,500000.0
2015-02-04,500000.0,500000.0
2015-02-05,498218.11247317644,504686.27207932144
2015-02-06,497841.9542167614,507181.10551165923
2015-02-09,496113.7508063996,520731.8718385186
2015-02-10,495299.18632833916,520731.8718385186
2015-02-11,488304.48945588607,488304.48945588607
2015-02-12,486980.4240545276,491211.1098636192
2015-02-13,487682.3849012032,493328.0178433217
2015-02-16,489424.9300037564,493328.0178433217
2015-02-18,489805.1095749513,494480.49439690344
2015-02-19,487987.0764846647,495661.3916481885
2015-02-20,486658.48721613304,499235.1105510458
2015-02-23,487062.8597521915,505986.7343746835
2015-02-24,488951.2965203477,505986.7343746835
2015-02-25,491100.6166287192,505986.7343746835
2015-02-26,487881.77359020663,491736.6587564749
2015-02-27,483613.0340094649,502719.20489538996
2015-03-02,488364.97009551205,502719.20489538996
2015-03-03,488514.8723673895,502719.20489538996
2015-03-04,487259.4278837217,487259.4278837217
2015-03-05,485924.6844449503,489635.0399666453
2015-03-09,485133.66640696366,496869.44421969994
2015-03-10,486756.6322561386,501464.71532911673
2015-03-11,489936.44407390844,501464.71532911673
2015-03-12,483685.94363589963,489692.368625885
2015-03-13,480740.0345639895,497608.6410546409
2015-03-16,485127.3014168575,497608.6410546409
2015-03-17,484067.9772141674,497608.6410546409
2015-03-18,486859.03072986635,497608.6410546409
2015-03-19,484592.7430339812,490617.78069107176
2015-03-20,483625.1706668651,492789.20077406074
2015-03-23,485194.09937355097,495589.97386909544
2015-03-24,486882.9554818708,495589.97386909544
2015-03-25,488201.15054547135,495589.97386909544
2015-03-26,478669.6834473515,481564.91552197345
2015-03-27,478999.82461688406,481564.91552197345
2015-03-30,477482.0567233419,485389.6996428061
2015-03-31,479064.44454074523,485389.6996428061
2015-04-01,478400.9949635832,488761.4243964231
2015-04-06,481541.08466682106,481541.08466682106
2015-04-07,481541.08466682106,481541.08466682106
2015-04-08,481541.08466682106,481541.08466682106
2015-04-09,480210.47127528954,484757.7218231928
2015-04-10,480586.7082121598,484757.7218231928
2015-04-13,481852.10804365046,484757.7218231928
2015-04-16,479218.42692100425,482630.6336915865
2015-04-17,478705.5222828684,485738.05523315485
2015-04-20,478104.4392264348,478104.4392264348
2015-04-21,478104.4392264348,478104.4392264348
2015-04-22,478104.4392264348,478104.4392264348
2015-04-23,477209.0014019406,481035.2124399935
2015-04-24,476740.08339929336,483333.5737186212
2015-04-27,477619.6901415861,487554.0453362707
2015-04-28,476076.0072683477,487554.0453362707
2015-04-29,480007.4946606098,487554.0453362707
2015-04-30,478545.390990624,482999.60924192873
2015-05-04,478352.37960640946,486197.7060572472
2015-05-05,479132.6706219474,486197.7060572472
2015-05-06,464855.1345392992,464855.1345392992
2015-05-07,463516.12455170206,468066.222418163
2015-05-08,461785.33267638815,473652.7125872973
2015-05-11,463247.1640630603,484299.54918254283
2015-05-12,448414.94082883286,484299.54918254283
2015-05-13,455813.90011843294,455813.90011843294
2015-05-14,454928.7970431236,457799.45933546696
2015-05-15,455162.335069994,457799.45933546696
2015-05-18,454731.4058700207,459893.29329933727
2015-05-19,455956.73553423525,459893.29329933727
2015-05-20,456169.2401733964,460843.32868916466
2015-05-21,455307.2387915804,458433.43430982105
2015-05-22,455681.32535417116,458433.43430982105
2015-05-25,455827.0345535379,458889.83630004706
2015-05-26,455931.9151137937,459519.59657804767
2015-05-27,456663.52202724916,459519.59657804767
2015-05-28,455575.4523692933,458608.48634083266
2015-05-29,454650.54838510556,461350.24317052885
2015-06-01,457056.98853408516,461350.24317052885
2015-06-02,452434.62112068816,467404.31207744556
2015-06-03,452784.57405280357,452784.57405280357
2015-06-04,451897.5115619057,455180.6515358093
2015-06-05,452635.7191130013,455180.6515358093
2015-06-08,453218.6464397605,456014.98521048314
2015-06-09,454247.2449618124,456004.26205081615
2015-06-10,453226.4191384369,456940.3155086039
2015-06-11,447266.517434072,452240.4536883258
2015-06-12,447716.0896958026,452240.4536883258
2015-06-15,449369.9098017979,452240.4536883258
2015-06-16,448808.22521347296,453344.5071958482
2015-06-17,448805.80656755844,455167.7315134393
2015-06-18,445577.73023318424,450602.2250569003
2015-06-19,445075.8514963701,451338.6555922813
2015-06-22,444295.35508981504,458384.10613929614
2015-06-23,445970.69316153205,458384.10613929614
2015-06-24,446686.65696515946,458384.10613929614
2015-06-25,444719.38591043785,449259.91711252456
2015-06-26,445457.03853954904,449259.91711252456
2015-06-29,445174.6028772577,452164.675087727
2015-06-30,447034.0104500991,452672.0706681593
2015-07-01,445774.8948630807,455481.8651424435
2015-07-02,444628.7060790248,448776.1675046293
2015-07-03,443784.6461152533,451296.5388263649
2015-07-06,445389.05407086975,452225.05862553825
2015-07-07,446089.02448510577,452225.05862553825
2015-07-08,437252.7505199011,437252.7505199011
2015-07-09,435921.30048793653,440251.516413364
2015-07-10,435838.9254024697,440251.516413364
2015-07-13,433518.7534379084,445313.4445774573
2015-07-14,434190.29014126206,445313.4445774573
2015-07-15,432430.58384123084,432430.58384123084
2015-07-16,431092.0265947086,435377.06756560947
2015-07-17,431409.8917927727,435377.06756560947
2015-07-20,433088.86175381613,435377.06756560947
2015-07-21,432297.6587582348,438105.1971646066
2015-07-22,425630.42896607076,425630.42896607076
2015-07-23,424294.5147620216,429828.09492779075
2015-07-24,423025.01733330445,434534.55955819454
2015-07-27,422507.9245426153,434534.55955819454
2015-07-28,422202.19455644465,434534.55955819454
2015-07-29,423865.2849441813,434534.55955819454
2015-07-30,422105.99357116665,427789.33629285777
2015-07-31,420486.4580576148,432227.306147593
2015-08-03,422830.62031948176,432227.306147593
2015-08-04,423321.90925864544,432227.306147593
2015-08-05,425244.70124636946,435428.6464033388
2015-08-06,424155.5467674711,428314.04304252344
2015-08-07,424594.0624622717,428314.04304252344
2015-08-10,425178.65551818715,429948.15724503493
2015-08-11,425304.5230821813,432134.33746029413
2015-08-12,423824.13933433365,423824.13933433365
2015-08-13,422487.1423152587,428028.728759625
2015-08-14,416973.0399914602,416973.0399914602
2015-08-17,416973.0399914602,416973.0399914602
2015-08-18,416973.0399914602,416973.0399914602
2015-08-19,416973.0399914602,416973.0399914602
2015-08-20,415651.4035032239,420158.38275145274
2015-08-21,414893.80706448824,421853.2262618581
2015-08-24,404811.3286688177,421853.2262618581
2015-08-25,405960.0690191584,421853.2262618581
2015-08-26,404280.50296843087,421853.2262618581
2015-08-27,404309.16089676897,406851.3025291157
2015-08-28,404576.07974100456,406851.3025291157
2015-08-31,405463.0273085117,406851.3025291157
2015-09-01,404790.63190253876,408241.1804039161
2015-09-02,405149.84038080176,409283.14986136486
2015-09-03,402678.4449187419,403893.3009505051
2015-09-04,402385.62279488076,405201.96199878753
2015-09-07,403142.4577169674,406231.7288552319
2015-09-08,401914.8287574981,407671.47412500106
2015-09-09,400731.8200374236,410051.66673475725
2015-09-10,400567.6403874529,403311.3599124651
2015-09-11,401171.2995900877,403311.3599124651
2015-09-14,401439.9478775132,403538.9393975237
2015-09-15,401769.50156878616,403538.9393975237
2015-09-16,402188.1206852504,403538.9393975237
2015-09-18,401486.94154909987,401486.94154909987
2015-09-21,401486.94154909987,401486.94154909987
2015-09-22,401486.94154909987,401486.94154909987
2015-09-23,401486.94154909987,401486.94154909987
2015-09-24,400597.0219572721,403728.3741733056
2015-09-28,401606.72918288904,404083.2297622859
2015-09-29,401861.9659408433,404083.2297622859
2015-09-30,400538.9755558055,405763.89095665136
2015-10-01,400919.33055449306,404416.7223269602
2015-10-05,399861.7311194597,408773.4166093257
2015-10-06,401247.48070960847,408773.4166093257
2015-10-07,403089.80889802874,410612.90095760796
2015-10-08,401852.58372757514,406450.7899838311
2015-10-09,402598.2944457778,406450.7899838311
2015-10-12,404143.40283345745,406450.7899838311
2015-10-13,404539.4238591763,406450.7899838311
2015-10-14,404121.2750177522,406305.2336369288
2015-10-15,401223.5600191663,404689.166353521
2015-10-16,400369.40539596655,406630.1306690531
2015-10-19,401403.5671649179,407293.0450769457
2015-10-20,402256.6533205043,407293.0450769457
2015-10-21,402877.9278448101,407293.0450769457
2015-10-23,404240.70547705883,404240.70547705883
2015-10-26,404240.70547705883,404240.70547705883
2015-10-27,404240.70547705883,404240.70547705883
2015-10-28,404240.70547705883,404240.70547705883
2015-10-29,402902.0442087079,407551.48026974546
2015-10-30,402133.86004150135,409991.00120788213
2015-11-02,403679.10763469315,409991.00120788213
2015-11-03,406728.5773420027,410554.235901984
2015-11-04,406762.9289666435,411440.17118102673
2015-11-05,399393.9375456153,408260.14796069596
2015-11-06,400086.7408692308,408260.14796069596
2015-11-09,400185.02981088497,409833.0005490792
