date,gross,outcome
2023-08-08,-0.006871129258326891,STOP
2023-08-09,-0.003070788296041349,EOD
2023-08-10,-0.0011503194503037495,EOD
2023-08-14,8.665198236901261e-05,EOD
2023-08-16,-0.0009346836656198843,EOD
2023-08-17,-0.004871400507065915,EOD
2023-08-18,0.00028843150628166114,EOD
2023-08-21,-0.006680966677078404,STOP
2023-08-22,-0.0006151811062587997,EOD
2023-08-25,-0.00037860157097502345,EOD
2023-08-28,-3.8848843640582054e-05,EOD
2023-08-29,-0.0011807786329360859,EOD
2023-08-31,-0.002239331260134536,EOD
2023-09-01,-0.0002309985030314321,EOD
2023-09-04,-0.005246546039540223,EOD
2023-09-05,0.002674578210751788,EOD
2023-09-06,0.0014417037085150408,EOD
2023-09-07,-0.0033341019362802538,STOP
2023-09-11,-0.005888969378027298,STOP
2023-09-14,0.010652386587193474,EOD
2023-09-19,-0.003629237831037635,STOP
2023-09-20,0.006464039949661382,EOD
2023-09-21,-0.0039890859554666536,STOP
2023-09-27,-0.006135195124205128,STOP
2023-09-28,-0.00274006467610155,STOP
2023-09-29,-0.0001580874946336408,EOD
2023-10-03,-0.004413385098235967,STOP
2023-10-04,0.0006203248382843363,EOD
2023-10-05,5.968405328182769e-06,EOD
2023-10-06,0.006608033306578109,EOD
2023-10-09,-0.005439169506429087,STOP
2023-10-10,0.007978516289068649,EOD
2023-10-11,0.00036839838773095046,EOD
2023-10-12,-0.001974271901872382,EOD
2023-10-16,-0.0021285378420690115,EOD
2023-10-18,-0.0035286018781177653,STOP
2023-10-24,0.0028914236599590915,EOD
2023-10-25,-0.007105646159816015,STOP
2023-10-26,0.008410834706242154,EOD
2023-10-27,-0.005339173713091894,STOP
2023-10-31,-7.04475808841476e-05,EOD
2023-11-02,0.0007219076696642901,EOD
2023-11-03,-0.0018758959402527253,EOD
2023-11-08,5.2310676921019095e-05,EOD
2023-11-09,0.00769143223149471,EOD
2023-11-14,0.01973411428294769,EOD
2023-11-15,-0.0016598046220474005,EOD
2023-11-17,0.0021411165250067032,EOD
2023-11-20,-0.00409403283518095,STOP
2023-11-22,0.0010614835524713762,EOD
2023-11-23,-0.002175077667276759,EOD
2023-11-24,0.00033872251220801175,EOD
2023-11-27,-0.0023436057667488575,STOP
2023-11-29,0.0027471479346508065,EOD
2023-11-30,-0.002717226838659159,EOD
2023-12-01,-0.00010099934019547341,EOD
2023-12-05,0.0017422510215343578,EOD
2023-12-06,0.004578921728042529,EOD
2023-12-07,-0.0020895867718589978,EOD
2023-12-08,0.007461414461549687,EOD
2023-12-11,0.007966648363049833,EOD
2023-12-12,-0.0036022425715598327,EOD
2023-12-14,-0.004385108104801971,STOP
2023-12-15,-0.0014517162488241198,EOD
2023-12-19,-0.0016986119790883825,EOD
2023-12-22,-0.00044113972353876374,EOD
2023-12-27,-0.0035306957302601027,EOD
2023-12-29,-0.00019776411535010752,EOD
2024-01-02,-0.005875254867151902,STOP
2024-01-08,0.0018248222507357692,EOD
2024-01-10,-0.00295666502100822,STOP
2024-01-12,-0.001083887465753941,EOD
2024-01-17,-0.004508278463257853,STOP
2024-01-18,0.0029186912094660844,EOD
2024-01-23,-0.0015109268965011191,EOD
2024-01-25,0.0012417597107017286,EOD
2024-01-26,0.0057120581113701,EOD
2024-01-29,0.0012562697356672814,EOD
2024-02-01,-0.0031176523141440704,EOD
2024-02-02,-0.003956072498567109,STOP
2024-02-06,0.0007735245498454724,EOD
2024-02-08,-0.003515386614102889,STOP
2024-02-12,-0.000190739405946716,EOD
2024-02-14,0.0022795947985543297,EOD
2024-02-15,-0.001591636301243704,EOD
2024-02-16,0.002051647030184567,EOD
2024-02-19,0.0011929728988075983,EOD
2024-02-20,-0.004416906584856162,STOP
2024-02-23,0.0031572198123286377,EOD
2024-02-27,0.0007196965869635807,EOD
2024-02-29,4.877252008927968e-06,EOD
2024-03-01,-0.0037407569453798972,STOP
2024-03-05,-0.0005398830509101282,EOD
2024-03-06,0.004020092994346136,EOD
2024-03-07,0.007429361506996912,EOD
2024-03-08,0.0022542152438183027,EOD
2024-03-11,-0.0007912427667010613,EOD
2024-03-12,0.009336699219459899,EOD
2024-03-13,6.433531333471798e-05,EOD
2024-03-14,-0.0038709093132560657,STOP
2024-03-15,-0.00120236716094968,EOD
2024-03-19,0.0029009898840646198,EOD
2024-03-20,0.0018599629527495942,EOD
2024-03-21,0.0043474649417680755,EOD
2024-03-22,-0.003434858083019132,EOD
2024-03-26,0.008557356203974464,EOD
2024-04-02,-0.0038752454487216426,STOP
2024-04-03,0.001819804430620131,EOD
2024-04-04,0.002321330879551775,EOD
2024-04-05,0.0022651365426886727,EOD
2024-04-08,0.0017879507305591513,EOD
2024-04-09,-0.002477902697426093,STOP
2024-04-10,-0.004658633919724875,STOP
2024-04-12,-0.005850461991295797,STOP
2024-04-15,-0.004510789671356874,EOD
2024-04-16,-0.004510408548578537,STOP
2024-04-17,0.0023692097805383394,EOD
2024-04-19,0.004439989187682514,EOD
2024-04-23,0.007560928815575352,EOD
2024-04-24,-0.00033597262010276463,EOD
2024-04-25,-0.005368475001316986,STOP
2024-04-26,0.006352749635599064,EOD
2024-04-29,-0.001736286498380979,EOD
2024-05-03,0.0011301517164929997,EOD
2024-05-06,0.005499719781152601,EOD
2024-05-07,0.007075085735198883,EOD
2024-05-10,0.0029269489885519473,EOD
2024-05-14,-0.0026093689407612475,STOP
2024-05-20,0.003950668510920297,EOD
2024-05-21,0.001451380023525406,EOD
2024-05-22,-0.0004164082252849921,EOD
2024-05-24,0.001222614920633358,EOD
2024-05-27,-0.0018469927950909293,STOP
2024-05-30,0.0046009539762725815,EOD
2024-05-31,0.003485650456714229,EOD
2024-06-05,0.0004018572239448126,EOD
2024-06-07,-0.002590764301547921,STOP
2024-06-12,0.00861379021859654,EOD
2024-06-24,0.007409395097818239,EOD
2024-06-26,-0.007147404704489824,STOP
2024-06-28,-0.0038581224448923646,STOP
2024-07-03,-0.0019235198989321356,EOD
2024-07-04,-0.004504490014946239,STOP
2024-07-05,-0.003561081637316943,STOP
2024-07-08,-0.00022121301452138198,EOD
2024-07-09,-0.00415754277034841,STOP
2024-07-10,0.002842249485212056,EOD
2024-07-11,0.004464836022612051,EOD
2024-07-12,0.013936460894940605,EOD
2024-07-15,-0.002938822115922113,STOP
2024-07-16,0.004544172837525284,EOD
2024-07-17,-0.0017270606201373884,EOD
2024-07-18,-0.0054001906466488725,EOD
2024-07-22,0.0030925482043833163,EOD
2024-07-23,-0.002640268482934305,EOD
2024-07-24,-0.0035262255514476593,EOD
2024-07-25,0.004070726225364973,EOD
2024-07-26,0.00576987533755613,EOD
2024-07-29,-0.002559136862079203,STOP
2024-07-30,0.0005198549298948141,EOD
2024-07-31,-0.0041825542965985285,STOP
2024-08-05,0.0009927773320841382,EOD
2024-08-07,0.0057325811616300015,EOD
2024-08-08,0.01073023372300752,EOD
2024-08-09,-0.0075185049067335585,STOP
2024-08-13,-0.0033602458239919697,STOP
2024-08-14,-0.003729972864117137,STOP
2024-08-15,-0.00257804759899416,STOP
2024-08-16,-0.0037730070761556878,STOP
2024-08-19,-0.0022512793894732264,STOP
2024-08-21,-0.002585638868551454,STOP
2024-08-22,0.0011489564022746368,EOD
2024-08-23,0.0026289074224024045,EOD
2024-08-26,0.001967832218075838,EOD
2024-08-27,-0.0021444291206843547,STOP
2024-08-28,0.00039269095383964725,EOD
2024-08-29,0.005750970591918758,EOD
2024-08-30,-0.00027653182269171683,EOD
2024-09-03,-0.002582604914741271,STOP
2024-09-04,-0.003645384596241974,EOD
2024-09-06,-0.005964053818915627,STOP
2024-09-09,0.0010529663482854446,EOD
2024-09-10,-0.007429616630193703,STOP
2024-09-11,-0.006332121245079536,STOP
2024-09-13,0.0003184767276491751,EOD
2024-09-16,0.00033431891282531545,EOD
2024-09-17,0.0030938966492879416,EOD
2024-09-19,0.0068659259335099865,EOD
2024-09-23,0.0013479862185250546,EOD
2024-09-24,-0.0034426973127034133,STOP
2024-09-25,0.0020542063491690854,EOD
2024-09-26,-0.001728167553947002,EOD
2024-10-01,-0.004542024067071715,STOP
2024-10-04,-0.00485219890611488,STOP
2024-10-08,0.0005807620791526968,EOD
2024-10-09,0.0035750938714700364,EOD
2024-10-11,0.005807473277673614,EOD
2024-10-14,0.0009505735609993682,EOD
2024-10-16,0.0020609086449974168,EOD
2024-10-17,-0.0037148835783196166,STOP
2024-10-18,0.0011668456414160033,EOD
2024-10-24,-0.0061800338569342195,STOP
2024-10-25,0.00014892050998072115,EOD
2024-10-28,0.006095119243053837,EOD
2024-10-29,-0.0034746476479845523,STOP
2024-11-01,-0.0002366167413933029,EOD
2024-11-04,-0.0011123652980331578,EOD
2024-11-05,-0.00461165964917809,STOP
2024-11-07,0.006449399937425548,EOD
2024-11-11,-0.0022887025000633,EOD
2024-11-13,-0.004202327706938402,STOP
2024-11-14,0.0018065345515438924,EOD
2024-11-15,-0.005611012575222674,STOP
2024-11-21,0.0029961717980424574,EOD
2024-11-22,0.0006156507635537434,EOD
2024-11-26,-9.819705704205983e-05,EOD
2024-11-27,-0.004664693545020415,STOP
2024-11-28,-0.003565684272784364,STOP
2024-11-29,0.0011846921900549034,EOD
2024-12-02,0.010783125989862308,EOD
2024-12-03,0.0022417267514025507,EOD
2024-12-04,-0.0010694717653625396,EOD
2024-12-05,0.0003662397087624836,EOD
2024-12-06,0.0011339847536129266,EOD
2024-12-17,-0.0015908326775431192,EOD
2024-12-18,-0.00048320434581972105,EOD
2024-12-20,0.0044063968658576425,EOD
2024-12-23,-0.001198499889819793,EOD
2024-12-27,0.001135272594531278,EOD
2024-12-30,0.00039193705903395326,EOD
2025-01-02,0.0009752435990384445,EOD
2025-01-03,-0.0006596363742343847,EOD
