date,equity,cash
2015-02-02,500000.0,500000.0
2015-02-03,500000.0,500000.0
2015-02-04,500000.0,500000.0
2015-02-05,499707.53657891817,508953.87868710485
2015-02-06,500616.8712783575,511225.0037613582
2015-02-09,496392.14683296485,521788.07850650273
2015-02-10,498099.72297235805,521788.07850650273
2015-02-11,496471.7689155782,496471.7689155782
2015-02-12,496188.58278585353,504507.1957583229
2015-02-13,499239.5108681551,507024.1037380254
2015-02-16,502015.6852536643,507024.1037380254
2015-02-18,502740.26306502835,508576.5802916071
2015-02-19,504275.4486850288,514430.26433302276
2015-02-20,503338.1204331176,517510.5535101657
2015-02-23,503062.1205957183,522974.271377894
2015-02-24,505859.41641638987,522974.271377894
2015-02-25,508655.2960081017,522974.271377894
2015-02-26,504418.5824622405,512619.8130467299
2015-02-27,495052.9681005868,524002.35918564495
2015-03-02,496472.79291464837,524002.35918564495
2015-03-03,494213.6838821372,524002.35918564495
2015-03-04,501295.868591732,501295.868591732
2015-03-05,501009.9450947378,509602.29479415587
2015-03-09,496402.8479273405,517236.6990472105
2015-03-10,496843.90502897836,522231.9701566273
2015-03-11,501641.2619575858,522231.9701566273
2015-03-12,502542.2687197083,511221.9134125951
2015-03-13,498148.1376336327,517559.117734162
2015-03-16,503575.3722537367,517559.117734162
2015-03-17,505330.7301130458,517559.117734162
2015-03-18,507366.69301264826,517559.117734162
2015-03-19,507733.22193627997,516472.57432831405
2015-03-20,507482.11116431665,518501.1393905558
2015-03-23,510583.8564554058,521001.7192118318
2015-03-24,512396.970981269,521001.7192118318
2015-03-25,513667.70658417983,521001.7192118318
2015-03-26,500170.67374153563,509054.4486360007
2015-03-27,501532.3818778236,509054.4486360007
2015-03-30,500275.08805138204,515191.62481724966
2015-03-31,503849.7021721866,515191.62481724966
2015-04-01,501284.49297662126,520649.21194767515
2015-04-06,509619.5917391686,509619.5917391686
2015-04-07,509619.5917391686,509619.5917391686
2015-04-08,509619.5917391686,509619.5917391686
2015-04-09,509331.5487906633,518135.84364119155
2015-04-10,510357.3115830224,518135.84364119155
2015-04-13,513312.41705892293,518135.84364119155
2015-04-16,513965.24231789116,522066.60610403534
2015-04-17,512332.03981836303,525574.0276456036
2015-04-20,507083.38224528485,507083.38224528485
2015-04-21,507083.38224528485,507083.38224528485
2015-04-22,507083.38224528485,507083.38224528485
2015-04-23,506749.6823104101,520119.6757978844
2015-04-24,505193.10242541146,525316.3983551399
2015-04-27,506197.43311185687,534357.3415904389
2015-04-28,506608.7536112558,534357.3415904389
2015-04-29,515439.43629293767,534357.3415904389
2015-04-30,515204.23135270213,526600.5900020663
2015-05-04,516409.06195078546,531464.7190891576
2015-05-05,518527.7145040069,531464.7190891576
2015-05-06,501305.10043523303,501305.10043523303
2015-05-07,500982.0931243919,513282.82420850516
2015-05-08,495716.09829894046,521331.47776735097
2015-05-11,493668.9003710558,536127.259894345
2015-05-12,482509.12341516337,536127.259894345
2015-05-13,491775.6567460646,491775.6567460646
2015-05-14,491490.29947239003,500026.02683984896
2015-05-15,492625.4699441838,500026.02683984896
2015-05-18,492948.37460575363,503566.77778565435
2015-05-19,495989.11734488286,503566.77778565435
2015-05-20,496564.30586375133,505391.83087039547
2015-05-21,497913.7820128449,507026.8126569616
2015-05-22,498983.564154914,507026.8126569616
2015-05-25,501615.7776076897,508111.4156423006
2015-05-26,502678.45840378874,509456.05605930154
2015-05-27,504222.80251973675,509456.05605930154
2015-05-28,504881.1214955824,516466.64436772047
2015-05-29,503105.3700531977,522550.1580271128
2015-06-01,511464.8197940532,522550.1580271128
2015-06-02,502197.9454536325,535258.2958409461
2015-06-03,505062.4856222016,505062.4856222016
2015-06-04,504742.59173156467,516731.98079525545
2015-06-05,508130.995151806,516731.98079525545
2015-06-08,511662.82521065086,519000.6481446032
2015-06-09,515364.86013872974,519579.2018252692
2015-06-10,514466.3118912838,522051.30874084466
2015-06-11,505864.0195090147,518659.55139169306
2015-06-12,507457.1622223239,518659.55139169306
2015-06-15,512579.0095660957,518659.55139169306
2015-06-16,512498.4628121781,520731.62273505627
2015-06-17,512965.9055900082,523762.5884918444
2015-06-18,509824.98248969286,522851.17899614776
2015-06-19,510008.3767351231,524433.0863766557
2015-06-22,507149.5420283783,534427.0204393422
2015-06-23,509053.1119285432,534427.0204393422
2015-06-24,512419.92909624183,534427.0204393422
2015-06-25,512587.7678671811,524819.8278458082
2015-06-26,515383.64922846644,524819.8278458082
2015-06-29,516599.5545629703,529292.8384794116
2015-06-30,522293.29404604045,530569.3659199879
2015-07-01,521672.10558184184,534915.7585523669
2015-07-02,523149.2024354137,535053.6759592396
2015-07-03,523264.0082662626,539014.1710548871
2015-07-06,528557.9292515123,540852.1974537849
2015-07-07,530438.4838045324,540852.1974537849
2015-07-08,519258.6387633303,519258.6387633303
2015-07-09,518942.13730251766,530592.2833837777
2015-07-10,519622.6340523794,530592.2833837777
2015-07-13,516193.80161842395,537941.5209359021
2015-07-14,518226.1557441391,537941.5209359021
2015-07-15,514716.2102378928,514716.2102378928
2015-07-16,514425.50640977715,523495.88922133826
2015-07-17,515439.6512240667,523495.88922133826
2015-07-20,519638.66633382626,523495.88922133826
2015-07-21,518077.957521635,526624.0188203354
2015-07-22,514144.90515252633,514144.90515252633
2015-07-23,513849.28014967294,523411.78043501294
2015-07-24,512259.58874547493,528518.2450654167
2015-07-27,503731.39281164214,528518.2450654167
2015-07-28,502460.5425913604,528518.2450654167
2015-07-29,508604.56742153346,528518.2450654167
2015-07-30,512887.02961415856,526965.1596818154
2015-07-31,508544.40888651874,533482.4528214624
2015-08-03,514720.42267815676,533482.4528214624
2015-08-04,517259.0411911528,533482.4528214624
2015-08-05,521146.7709608379,538350.9064957901
2015-08-06,522803.4285902648,534939.9453000992
2015-08-07,523976.58295123774,534939.9453000992
2015-08-10,527624.938822672,537718.7642367813
2015-08-11,526388.7000856538,541233.6711904602
2015-08-12,518035.03990875365,518035.03990875365
2015-08-13,517706.7646530746,530534.2902209839
2015-08-14,503199.13222722383,503199.13222722383
2015-08-17,503199.13222722383,503199.13222722383
2015-08-18,503199.13222722383,503199.13222722383
2015-08-19,503199.13222722383,503199.13222722383
2015-08-20,502887.9947067448,514001.7467546522
2015-08-21,502536.3557388037,516861.53810185933
2015-08-24,417433.67519379256,516861.53810185933
2015-08-25,433889.3609968624,516861.53810185933
2015-08-26,416315.76473849383,516861.53810185933
2015-08-27,449019.2337901573,457646.2130319424
2015-08-28,450438.3898963764,457646.2130319424
2015-08-31,453811.0578471256,457646.2130319424
2015-09-01,452272.25093405315,460131.029844143
2015-09-02,452994.96503980446,462093.9840303161
2015-09-03,452709.53163014486,461016.9387525226
2015-09-04,451119.13527756766,465342.9218973699
2015-09-07,454377.8746804546,468832.22246670304
2015-09-08,453481.38793885213,473551.45827601047
2015-09-09,451470.9712140878,481092.03610527905
2015-09-10,454897.83370543487,463456.1128062697
2015-09-11,457303.77613005013,463456.1128062697
2015-09-14,459340.11608691985,464197.4820338576
2015-09-15,460467.7282406475,464197.4820338576
2015-09-16,461209.6744812841,464197.4820338576
2015-09-18,461919.20179010066,461919.20179010066
2015-09-21,461919.20179010066,461919.20179010066
2015-09-22,461919.20179010066,461919.20179010066
2015-09-23,461919.20179010066,461919.20179010066
2015-09-24,461628.27695460955,470720.7605037195
2015-09-28,466182.880805267,471653.04388718994
2015-09-29,467265.89499071526,471653.04388718994
2015-09-30,465789.70059693046,474574.03567873815
2015-10-01,469062.6527867136,478583.12457319273
2015-10-05,467977.3313318038,485518.1659967409
2015-10-06,470351.21451587457,485518.1659967409
2015-10-07,475032.1386566745,488677.39251916436
2015-10-08,477391.2721060993,486335.44713487715
2015-10-09,479252.1036277705,486335.44713487715
2015-10-12,482797.1773917346,486335.44713487715
2015-10-13,483551.4421922635,486335.44713487715
2015-10-14,483707.12912416446,486589.8907879748
2015-10-15,483570.69218452787,491506.9855583608
2015-10-16,483710.2602569553,493847.94987389294
2015-10-19,486592.89987824863,494910.8642817855
2015-10-20,488296.3743441311,494910.8642817855
2015-10-21,489415.6198436243,494910.8642817855
2015-10-23,493078.506860728,493078.506860728
2015-10-26,493078.506860728,493078.506860728
2015-10-27,493078.506860728,493078.506860728
2015-10-28,493078.506860728,493078.506860728
2015-10-29,492755.0697747538,505098.77837217203
2015-10-30,493889.1109074073,508951.47295635426
2015-11-02,497501.6055151864,508951.47295635426
2015-11-03,504752.6507905045,510302.45254849
2015-11-04,505413.66637819225,512083.6995872137
2015-11-05,499410.7083000002,510627.0014438992
2015-11-06,500844.9144847067,510627.0014438992
2015-11-09,503514.26217894675,512125.7743515467
2015-11-10,486077.87104333506,512125.7743515467
