date,action,spot,cashflow,n_lots
2015-02-05,OPEN,8711.7001953125,8953.878687104832,3
2015-02-06,ROLL_CALL,8661.0498046875,0.0,3
2015-02-09,ROLL_CALL,8526.349609375,0.0,3
2015-02-11,ROLL_PUT,8627.400390625,0.0,3
2015-02-11,STRADDLE_CLOSE,8627.400390625,-35176.854219321,3
2015-02-12,OPEN,8711.5498046875,8035.426842744673,3
2015-02-13,ROLL_PUT,8805.5,0.0,3
2015-02-18,ROLL_PUT,8869.099609375,0.0,3
2015-02-19,ROLL_PUT,8895.2998046875,0.0,3
2015-02-19,COVER_CLOSE,8895.2998046875,-4534.736523474219,3
2015-02-19,OPEN,8895.2998046875,9853.267491513989,3
2015-02-20,ROLL_CALL,8833.599609375,0.0,3
2015-02-23,ROLL_CALL,8754.9501953125,0.0,3
2015-02-26,COVER_CLOSE,8683.849609375,-18073.676609808626,3
2015-02-26,OPEN,8683.849609375,7919.218278644535,3
2015-02-27,ROLL_PUT,8844.599609375,0.0,3
2015-03-04,ROLL_PUT,8922.650390625,0.0,3
2015-03-04,STRADDLE_CLOSE,8922.650390625,-32390.51660494823,3
2015-03-05,OPEN,8937.75,8306.42620242385,3
2015-03-09,ROLL_CALL,8756.75,0.0,3
2015-03-10,ROLL_CALL,8712.0498046875,0.0,3
2015-03-12,COVER_CLOSE,8776.0,-19202.904989990093,3
2015-03-12,OPEN,8776.0,8392.848245957917,3
2015-03-13,ROLL_CALL,8647.75,0.0,3
2015-03-19,ROLL_CALL,8634.650390625,0.0,3
2015-03-19,COVER_CLOSE,8634.650390625,-12695.498776490109,3
2015-03-19,OPEN,8634.650390625,8451.958868113761,3
2015-03-20,ROLL_CALL,8570.900390625,0.0,3
2015-03-23,ROLL_CALL,8550.900390625,0.0,3
2015-03-26,ROLL_CALL,8342.150390625,0.0,3
2015-03-26,STRADDLE_CLOSE,8342.150390625,-34268.567198969184,3
2015-03-26,OPEN,8342.150390625,8594.937145520413,3
2015-03-30,ROLL_PUT,8492.2998046875,0.0,3
2015-04-01,ROLL_PUT,8586.25,0.0,3
2015-04-06,ROLL_PUT,8659.900390625,0.0,3
2015-04-06,STRADDLE_CLOSE,8659.900390625,-16581.23599451374,3
2015-04-09,OPEN,8778.2998046875,8516.251902022948,3
2015-04-16,ROLL_CALL,8706.7001953125,0.0,3
2015-04-16,COVER_CLOSE,8706.7001953125,-6059.506969943786,3
2015-04-16,OPEN,8706.7001953125,7820.3501482827205,3
2015-04-17,ROLL_CALL,8606.0,0.0,3
2015-04-20,ROLL_CALL,8448.099609375,0.0,3
2015-04-20,STRADDLE_CLOSE,8448.099609375,-31353.233493885986,3
2015-04-23,OPEN,8398.2998046875,13036.293552599569,4
2015-04-24,ROLL_CALL,8305.25,0.0,4
2015-04-27,ROLL_CALL,8213.7998046875,0.0,4
2015-04-30,ROLL_CALL,8181.5,0.0,4
2015-04-30,COVER_CLOSE,8181.5,-24854.413935408094,4
2015-04-30,OPEN,8181.5,11082.395062870555,4
2015-05-04,ROLL_PUT,8331.9501953125,0.0,4
2015-05-06,ROLL_CALL,8097.0,0.0,4
2015-05-06,STRADDLE_CLOSE,8097.0,-51740.37537742717,4
2015-05-07,OPEN,8057.2998046875,11977.723773272128,4
2015-05-08,ROLL_PUT,8191.5,0.0,4
2015-05-11,ROLL_PUT,8325.25,0.0,4
