stock,ticker,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,hold_days,gross_pl,fees,net_pl,pct
Tele2,TEL2-B.ST,2025-03-28,124.28,165,2025-06-27,134.43,RANK_EXIT,91,1676,78,1598,8.2
Lifco,LIFCO-B.ST,2025-06-13,386.74,53,2025-06-27,393.08,RANK_EXIT,14,336,78,258,1.6
Handelsbanken,SHB-A.ST,2025-04-25,101.16,195,2025-07-04,110.77,RANK_EXIT,70,1873,78,1795,9.5
SAAB,SAAB-B.ST,2025-02-21,295.07,70,2025-07-11,487.45,RANK_EXIT,140,13467,90,13377,65.2
NIBE,NIBE-B.ST,2025-07-04,42.63,499,2025-07-18,43.29,RANK_EXIT,14,326,78,248,1.5
SAAB,SAAB-B.ST,2025-07-18,557.2,39,2025-08-15,508.18,RANK_EXIT,28,-1912,78,-1990,-8.8
SKF,SKF-B.ST,2025-06-27,216.23,100,2025-09-12,230.69,RANK_EXIT,77,1445,78,1367,6.7
Evolution,EVO.ST,2025-08-15,823.4,26,2025-09-12,792.0,RANK_EXIT,28,-816,78,-894,-3.8
EQT,EQT.ST,2025-06-27,313.83,68,2025-09-19,337.87,RANK_EXIT,84,1635,78,1557,7.7
ABB,ABB.ST,2025-09-12,665.18,32,2025-10-10,691.15,RANK_EXIT,28,831,78,753,3.9
Hexagon,HEXA-B.ST,2025-09-12,108.0,200,2025-10-10,112.25,RANK_EXIT,28,849,78,771,3.9
AstraZeneca,AZN.ST,2025-10-10,1619.64,14,2025-10-24,1561.19,RANK_EXIT,14,-818,78,-896,-3.6
H&M,HM-B.ST,2025-09-19,146.14,151,2025-12-19,179.95,RANK_EXIT,91,5106,80,5026,23.1
AstraZeneca,AZN.ST,2025-12-19,1699.57,14,2025-12-23,1697.57,RANK_EXIT,4,-28,78,-106,-0.1
Ericsson,ERIC-B.ST,2025-10-24,87.96,269,2026-01-09,85.69,RANK_EXIT,77,-610,78,-688,-2.6
Nordea,NDA-SE.ST,2025-12-23,171.78,145,2026-01-09,174.22,RANK_EXIT,17,353,78,275,1.4
Volvo,VOLV-B.ST,2026-01-09,297.21,87,2026-03-06,316.33,RANK_EXIT,56,1664,80,1583,6.4
Boliden,BOL.ST,2025-10-10,394.1,58,2026-03-19,546.46,TRAIL_STOP,160,8837,87,8750,38.7
SAAB,SAAB-B.ST,2026-01-09,680.77,38,2026-03-27,590.63,RANK_EXIT,77,-3425,78,-3503,-13.2
Ericsson,ERIC-B.ST,2026-03-27,104.5,250,2026-04-17,105.7,RANK_EXIT,21,299,79,220,1.1
Sandvik,SAND.ST,2025-07-11,226.11,95,2026-04-30,383.1,RANK_EXIT,293,14914,94,14820,69.4
Tele2,TEL2-B.ST,2026-03-06,186.03,150,2026-05-08,178.93,RANK_EXIT,63,-1064,82,-1146,-3.8
Telia,TELIA.ST,2026-03-20,46.02,570,2026-05-29,49.51,RANK_EXIT,70,1988,82,1907,7.6
Ericsson,ERIC-B.ST,2026-05-08,109.6,252,2026-06-12,116.6,RANK_EXIT,35,1764,86,1678,6.4
Evolution,EVO.ST,2026-04-30,642.4,42,2026-06-26,658.2,RANK_EXIT,57,664,82,582,2.5
Epiroc,EPI-A.ST,2026-05-29,274.7,105,2026-06-26,255.9,RANK_EXIT,28,-1974,84,-2058,-6.8
