date,ticker,action,price,shares,fee
2015-10-16,SCA-B.ST,BUY,31.958812713623047,260.0,39
2015-10-23,ADDT-B.ST,BUY,24.61732292175293,341.0,39
2015-10-23,ASSA-B.ST,BUY,138.39599609375,60.0,39
2015-10-30,SCA-B.ST,TAKE_PROFIT,35.556827545166016,260.0,39
2015-11-06,ASSA-B.ST,TAKE_PROFIT,146.31149291992188,60.0,39
2015-11-13,ADDT-B.ST,TAKE_PROFIT,26.461132049560547,341.0,39
2016-01-22,SAAB-B.ST,BUY,51.75586700439453,166.0,39
2016-01-22,ASSA-B.ST,BUY,140.39569091796875,61.0,39
2016-01-22,SCA-B.ST,BUY,34.48448181152344,250.0,39
2016-01-29,SCA-B.ST,TAKE_PROFIT,35.683815002441406,250.0,39
2016-02-19,SAAB-B.ST,TAKE_PROFIT,54.75442123413086,166.0,39
2016-04-15,ASSA-B.ST,MAX_HOLD,136.72959899902344,61.0,39
2016-05-27,EVO.ST,BUY,56.19916534423828,154.0,39
2016-05-27,INVE-B.ST,BUY,59.33208084106445,146.0,39
2016-06-17,EVO.ST,STOP_LOSS,47.41804504394531,154.0,39
2016-06-24,HEXA-B.ST,BUY,44.7281608581543,188.0,39
2016-07-01,NIBE-B.ST,BUY,15.58365535736084,536.0,39
2016-07-01,SKA-B.ST,BUY,119.90505981445312,69.0,39
2016-07-01,SAAB-B.ST,BUY,57.073081970214844,146.0,39
2016-07-01,SAND.ST,BUY,65.8144302368164,126.0,39
2016-07-08,SKA-B.ST,TAKE_PROFIT,119.30487823486328,69.0,39
2016-07-08,SAAB-B.ST,TAKE_PROFIT,58.581077575683594,146.0,39
2016-07-15,SAND.ST,TAKE_PROFIT,67.8157958984375,126.0,39
2016-07-15,ABB.ST,BUY,158.91021728515625,52.0,39
2016-07-22,INVE-B.ST,TAKE_PROFIT,59.85858154296875,146.0,39
2016-07-22,HEXA-B.ST,TAKE_PROFIT,46.153865814208984,188.0,39
2016-07-22,ABB.ST,TAKE_PROFIT,167.6610107421875,52.0,39
2016-08-05,SCA-B.ST,BUY,40.532379150390625,212.0,39
2016-08-12,NIBE-B.ST,TAKE_PROFIT,16.662187576293945,536.0,39
2016-09-16,LIFCO-B.ST,BUY,43.167964935302734,200.0,39
2016-09-30,TEL2-B.ST,BUY,36.277156829833984,237.0,39
2016-10-14,TEL2-B.ST,TAKE_PROFIT,37.232460021972656,237.0,39
2016-10-14,ASSA-B.ST,BUY,151.47412109375,57.0,39
2016-10-21,NIBE-B.ST,BUY,15.798882484436035,544.0,39
2016-10-21,AZN.ST,BUY,519.5181884765625,16.0,39
2016-10-28,SCA-B.ST,MAX_HOLD,40.86500549316406,212.0,39
2016-10-28,SCA-B.ST,BUY,40.86500549316406,205.0,39
2016-11-11,ALFA.ST,BUY,110.12986755371094,74.0,39
2016-11-25,ALFA.ST,TAKE_PROFIT,119.0140151977539,74.0,39
2016-12-02,AZN.ST,STOP_LOSS,455.50439453125,16.0,39
2016-12-09,LIFCO-B.ST,MAX_HOLD,40.40827941894531,200.0,39
2016-12-09,TEL2-B.ST,BUY,36.502811431884766,227.0,39
2017-01-06,ASSA-B.ST,MAX_HOLD,141.48863220214844,57.0,39
2017-01-06,NIBE-B.ST,TAKE_PROFIT,16.502853393554688,544.0,39
2017-01-20,SCA-B.ST,MAX_HOLD,39.8354606628418,205.0,39
2017-01-27,TEL2-B.ST,TAKE_PROFIT,38.99394226074219,227.0,39
2017-03-03,SKA-B.ST,BUY,144.3128662109375,58.0,39
2017-03-10,SHB-A.ST,BUY,59.1595344543457,142.0,39
2017-03-17,NIBE-B.ST,BUY,16.502853393554688,509.0,39
2017-03-31,SWED-A.ST,BUY,109.56266784667969,76.0,39
2017-03-31,NDA-SE.ST,BUY,96.66405487060547,87.0,39
2017-03-31,ADDT-B.ST,BUY,32.924659729003906,256.0,39
2017-04-14,NIBE-B.ST,TAKE_PROFIT,17.287601470947266,509.0,39
2017-04-14,ADDT-B.ST,TAKE_PROFIT,33.8115234375,256.0,39
2017-04-21,ABB.ST,BUY,195.6956024169922,43.0,39
2017-04-28,NDA-SE.ST,TAKE_PROFIT,102.99492645263672,87.0,39
2017-04-28,ABB.ST,TAKE_PROFIT,202.7047882080078,43.0,39
2017-05-05,SKA-B.ST,TAKE_PROFIT,147.35955810546875,58.0,39
2017-05-05,SHB-A.ST,TAKE_PROFIT,61.785701751708984,142.0,39
2017-05-12,SWED-A.ST,TAKE_PROFIT,114.20693969726562,76.0,39
2017-05-19,BOL.ST,BUY,169.82015991210938,51.0,39
2017-06-02,SWED-A.ST,BUY,109.56266784667969,79.0,39
2017-06-09,SWED-A.ST,TAKE_PROFIT,111.67372131347656,79.0,39
2017-06-09,SWED-A.ST,BUY,111.67372131347656,78.0,39
2017-06-09,SHB-A.ST,BUY,60.0398063659668,146.0,39
2017-07-07,SWED-A.ST,TAKE_PROFIT,112.14869689941406,78.0,39
2017-07-07,SKF-B.ST,BUY,129.1509552001953,67.0,39
2017-07-07,ALFA.ST,BUY,149.21929931640625,58.0,39
2017-07-07,SWED-A.ST,BUY,112.14869689941406,77.0,39
2017-07-14,SHB-A.ST,TAKE_PROFIT,61.203731536865234,146.0,39
2017-07-14,ALFA.ST,TAKE_PROFIT,157.03225708007812,58.0,39
2017-07-14,SWED-A.ST,TAKE_PROFIT,112.83478546142578,77.0,39
2017-07-14,ASSA-B.ST,BUY,157.80702209472656,56.0,39
2017-07-21,ASSA-B.ST,STOP_LOSS,148.18045043945312,56.0,39
2017-07-28,BOL.ST,TAKE_PROFIT,178.06655883789062,51.0,39
2017-08-04,SKF-B.ST,STOP_LOSS,120.30089569091797,67.0,39
2017-08-04,SAND.ST,BUY,100.95978546142578,86.0,39
2017-08-04,NIBE-B.ST,BUY,18.3335018157959,474.0,39
2017-08-04,INVE-B.ST,BUY,81.11552429199219,107.0,39
2017-08-04,SEB-A.ST,BUY,61.228214263916016,142.0,39
2017-08-04,TELIA.ST,BUY,22.491806030273438,386.0,39
2017-08-18,NIBE-B.ST,STOP_LOSS,16.433717727661133,474.0,39
2017-08-25,VOLV-B.ST,BUY,81.00997161865234,103.0,39
2017-08-25,ATCO-A.ST,BUY,48.19831085205078,164.0,39
2017-09-15,VOLV-B.ST,TAKE_PROFIT,88.07239532470703,103.0,39
2017-09-22,SAND.ST,TAKE_PROFIT,108.18803405761719,86.0,39
2017-09-22,NDA-SE.ST,BUY,100.72714233398438,87.0,39
2017-09-22,SCA-B.ST,BUY,57.98311233520508,151.0,39
2017-09-29,INVE-B.ST,TAKE_PROFIT,83.71672058105469,107.0,39
2017-09-29,SEB-A.ST,TAKE_PROFIT,63.17103576660156,142.0,39
2017-09-29,ATCO-A.ST,TAKE_PROFIT,53.624515533447266,164.0,39
2017-09-29,SCA-B.ST,TAKE_PROFIT,59.80320739746094,151.0,39
2017-10-13,TELIA.ST,TAKE_PROFIT,23.177818298339844,386.0,39
2017-10-13,TEL2-B.ST,BUY,51.58026123046875,174.0,39
2017-10-20,NDA-SE.ST,TAKE_PROFIT,104.1288070678711,87.0,39
2017-10-20,TEL2-B.ST,TAKE_PROFIT,55.34917068481445,174.0,39
2017-11-03,SEB-A.ST,BUY,60.58060836791992,150.0,39
2017-11-24,BOL.ST,BUY,196.7957000732422,46.0,39
2017-12-08,TELIA.ST,BUY,22.5181884765625,397.0,39
2017-12-15,SAND.ST,BUY,113.21636962890625,79.0,39
2017-12-22,SAAB-B.ST,BUY,86.28515625,104.0,39
2017-12-22,ALFA.ST,BUY,169.39564514160156,53.0,39
2018-01-05,SAND.ST,TAKE_PROFIT,118.48043823242188,79.0,39
2018-01-05,VOLV-B.ST,BUY,94.83806610107422,96.0,39
2018-01-26,SEB-A.ST,MAX_HOLD,58.93215560913086,150.0,39
2018-01-26,TELIA.ST,TAKE_PROFIT,23.186147689819336,397.0,39
2018-01-26,TEL2-B.ST,BUY,53.10936737060547,172.0,39
2018-01-26,TELIA.ST,BUY,23.186147689819336,395.0,39
2018-02-02,TELIA.ST,TAKE_PROFIT,23.655532836914062,395.0,39
2018-02-09,SAAB-B.ST,STOP_LOSS,77.51436614990234,104.0,39
