strategy,ticker,entry_date,entry_px,exit_date,exit_px,hold_days,ret,entry_val,reason
A,WALL-B.ST,2010-10-21,11.35,2010-11-11,10.93,21,-0.037463676723765715,0.16666666666666666,rotate
A,SWED-A.ST,2010-10-21,35.99,2010-11-11,33.92,21,-0.05733136892691071,0.16666666666666666,rotate
A,CAST.ST,2010-10-21,39.19,2010-11-11,38.23,21,-0.02451554492977137,0.16447149604204084,rotate
A,BALD-B.ST,2010-10-21,4.02,2010-12-02,3.96,42,-0.016574689121588104,0.16666666666666666,6wk-exit
A,FABG.ST,2010-10-21,21.35,2010-12-02,21.07,42,-0.012996797654805659,0.16666666666666666,6wk-exit
A,BOL.ST,2010-10-21,66.25,2010-12-02,73.79,42,0.11391310406540489,0.16666666666666666,6wk-exit
A,HPOL-B.ST,2010-11-11,7.25,2010-12-23,8.09,42,0.11487775433814051,0.1643515221792208,6wk-exit
A,SKF-B.ST,2010-11-11,107.42,2010-12-23,116.18,42,0.08151879944887153,0.1643515221792208,6wk-exit
A,TREL-B.ST,2010-11-11,44.41,2010-12-23,49.4,42,0.11240308679166322,0.14717203541258966,6wk-exit
A,ATCO-A.ST,2010-12-02,20.74,2011-01-18,20.58,47,-0.007970403814420046,0.1706001637815846,6wk-exit
A,ATCO-B.ST,2010-12-02,16.92,2011-01-18,17.05,47,0.007508752507661809,0.1706001637815846,6wk-exit
A,SAND.ST,2010-12-02,78.87,2011-01-18,81.37,47,0.0317462528542829,0.17059972328013806,6wk-exit
A,SAAB-B.ST,2010-12-23,22.1,2011-01-18,23.18,26,0.049233355251157684,0.1765068822612842,rotate
A,BOL.ST,2010-12-23,77.08,2011-02-08,79.44,47,0.03064264709899933,0.1765068822612842,6wk-exit
A,NIBE-B.ST,2010-12-23,5.24,2011-02-08,4.93,47,-0.05769254583054406,0.16937838551831436,6wk-exit
A,ADDT-B.ST,2011-01-18,10.78,2011-02-08,10.07,21,-0.06598989576161762,0.17722440672414788,rotate
A,SKF-B.ST,2011-01-18,114.56,2011-02-08,100.05,21,-0.1267017396482104,0.16757739674986694,rotate
A,VOLV-B.ST,2011-01-18,56.5,2011-03-01,52.11,42,-0.07771143276335912,0.17722440672414788,6wk-exit
A,HPOL-B.ST,2011-01-18,9.45,2011-03-01,8.28,42,-0.12407094448903722,0.17722440672414788,6wk-exit
A,SAAB-B.ST,2011-02-08,22.11,2011-03-01,23.36,21,0.05645185080017945,0.1647175109272173,rotate
A,TREL-B.ST,2011-02-08,48.2,2011-03-01,43.27,21,-0.10214300012101984,0.1647175109272173,rotate
A,HOLM-B.ST,2011-02-08,68.49,2011-03-01,66.64,21,-0.027050501272075533,0.15637530500642893,rotate
A,BALD-B.ST,2011-02-08,4.86,2011-03-22,5.19,42,0.06864982715524182,0.16471751092721726,6wk-exit
A,BOL.ST,2011-03-01,77.65,2011-03-22,73.74,21,-0.050445183740042476,0.16073084262563056,rotate
A,SEB-A.ST,2011-03-01,24.46,2011-03-22,24.09,21,-0.015017624094959103,0.16073084262563056,rotate
A,ABB.ST,2011-03-01,138.83,2011-03-22,134.11,21,-0.033964538261104016,0.14633843608769898,rotate
A,SWED-A.ST,2011-03-01,40.02,2011-04-12,43.25,42,0.08066423324547967,0.16073084262563056,6wk-exit
A,ADDT-B.ST,2011-03-01,9.6,2011-04-12,10.29,42,0.07122505198841855,0.16073084262563056,6wk-exit
A,HPOL-B.ST,2011-03-22,9.1,2011-04-12,8.67,21,-0.04651179856733556,0.15924699724636082,rotate
A,GETI-B.ST,2011-03-22,74.89,2011-04-12,81.07,21,0.08248829772419275,0.15924699724636082,rotate
A,LATO-B.ST,2011-03-22,23.1,2011-05-05,25.37,44,0.09817372975540195,0.15924699724636082,6wk-exit
A,SAAB-B.ST,2011-03-22,23.81,2011-05-05,26.43,44,0.10996878480583883,0.14783366211494123,6wk-exit
A,ERIC-B.ST,2011-04-12,49.99,2011-05-05,59.05,23,0.1811486472463304,0.1645905773580362,rotate
A,CAST.ST,2011-04-12,42.53,2011-05-26,44.22,44,0.03989066969743993,0.1645905773580362,6wk-exit
A,WALL-B.ST,2011-04-12,12.79,2011-05-26,13.09,44,0.023155751822305337,0.1645905773580362,6wk-exit
A,HEXA-B.ST,2011-04-12,19.77,2011-05-26,21.22,44,0.07326924028736803,0.1645905773580362,6wk-exit
A,SWED-A.ST,2011-05-05,42.43,2011-05-26,42.06,21,-0.008771933767598328,0.17371908952472537,rotate
A,SKF-B.ST,2011-05-05,113.84,2011-05-26,110.82,21,-0.02650078290410607,0.17371908952472537,rotate
A,BALD-B.ST,2011-05-05,5.34,2011-05-26,5.22,21,-0.023908489128988797,0.17371908952472537,rotate
A,HPOL-B.ST,2011-05-26,10.76,2011-06-20,10.73,25,-0.002857074472753185,0.17392304912816592,rotate
A,ERIC-B.ST,2011-05-26,58.92,2011-06-20,55.74,25,-0.05398027179147935,0.17392304912816592,rotate
A,TREL-B.ST,2011-05-26,50.03,2011-06-20,45.57,25,-0.08904600731219825,0.17392304912816592,rotate
A,LATO-B.ST,2011-05-26,24.37,2011-06-20,21.84,25,-0.10370380516991506,0.17392304912816592,rotate
A,HM-B.ST,2011-05-26,128.43,2011-06-20,116.74,25,-0.09098724837597238,0.17392304912816592,rotate
A,GETI-B.ST,2011-05-26,88.78,2011-06-20,84.98,25,-0.0428151867666009,0.17163230451781686,rotate
A,TREL-B.ST,2012-01-19,44.44,2012-02-09,47.13,21,0.060461570260419206,0.16208684631536444,rotate
A,ATCO-B.ST,2012-01-19,17.28,2012-02-09,17.8,21,0.029798989645148488,0.15995199661334633,rotate
A,HPOL-B.ST,2012-01-19,13.43,2012-03-01,14.69,42,0.09382166610376874,0.16208684631536444,6wk-exit
A,BOL.ST,2012-01-19,70.52,2012-03-01,68.3,42,-0.031462628918263236,0.16208684631536444,6wk-exit
A,HEXA-B.ST,2012-01-19,16.35,2012-03-01,18.13,42,0.10915203250467198,0.16208684631536444,6wk-exit
A,SSAB-A.ST,2012-01-19,33.43,2012-03-01,31.27,42,-0.06466661242176952,0.16208684631536444,6wk-exit
A,INDU-C.ST,2012-02-09,65.85,2012-03-01,65.46,21,-0.005964222082521231,0.16948218705100815,rotate
A,ATCO-A.ST,2012-02-09,21.3,2012-03-01,21.87,21,0.026865558840695858,0.16564527698706114,rotate
A,SEB-A.ST,2012-03-01,22.09,2012-03-22,21.36,21,-0.03315892339487314,0.1670038238331182,rotate
A,ADDT-B.ST,2012-03-01,10.78,2012-03-22,10.35,21,-0.040106757441749186,0.1670038238331182,rotate
A,SWED-A.ST,2012-03-01,42.47,2012-04-16,39.3,46,-0.07464910410188597,0.1670038238331182,6wk-exit
A,VOLV-B.ST,2012-03-01,47.93,2012-04-16,44.91,46,-0.0631436004002498,0.1670038238331182,6wk-exit
A,ELUX-B.ST,2012-03-01,87.43,2012-04-16,86.75,46,-0.007680358841444801,0.1670038238331182,6wk-exit
A,LATO-B.ST,2012-03-01,24.93,2012-04-16,24.84,46,-0.0036206256448459984,0.16480421250344643,6wk-exit
A,HEXA-B.ST,2012-03-22,16.88,2012-04-16,18.01,25,0.06666675705736691,0.1585734168051506,rotate
A,BALD-B.ST,2012-03-22,5.28,2012-05-08,5.45,47,0.03154580453056122,0.16178589312639993,6wk-exit
A,SEB-A.ST,2012-04-16,20.47,2012-05-08,20.23,22,-0.011928952074398702,0.16108343351035634,rotate
A,SHB-A.ST,2012-04-16,26.45,2012-05-08,28.04,22,0.05990354961110733,0.16108343351035634,rotate
A,HUSQ-B.ST,2012-04-16,26.53,2012-05-08,23.59,22,-0.11091682022133442,0.16108343351035634,rotate
A,SCA-B.ST,2012-04-16,10.46,2012-05-30,9.72,44,-0.07072517144767898,0.16108343351035634,6wk-exit
A,ASSA-B.ST,2012-04-16,53.21,2012-05-30,50.39,44,-0.052831278749747135,0.16108343351035634,6wk-exit
