date,ticker,action,price,shares,fee
2015-08-14,ADDT-B.ST,BUY,26.62579917907715,266.0,39
2015-08-14,EVO.ST,BUY,27.289751052856445,259.0,39
2015-08-14,SCA-B.ST,BUY,34.49858856201172,205.0,39
2015-08-14,LIFCO-B.ST,BUY,32.92327117919922,215.0,39
2015-08-14,HM-B.ST,BUY,226.2580108642578,31.0,39
2015-08-14,SKA-B.ST,BUY,115.10533142089844,61.0,39
2015-08-21,SKA-B.ST,RANK_EXIT,106.40850067138672,61.0,39
2015-08-21,NIBE-B.ST,BUY,13.489978790283203,501.0,39
2015-08-28,HM-B.ST,RANK_EXIT,210.3622589111328,31.0,39
2015-08-28,SAAB-B.ST,BUY,44.4648551940918,161.0,39
2015-09-25,ADDT-B.ST,STOP_LOSS,23.819997787475586,266.0,39
2015-09-25,NIBE-B.ST,RANK_EXIT,13.163609504699707,501.0,39
2015-10-02,SCA-B.ST,RANK_EXIT,31.140443801879883,205.0,39
2015-10-02,NIBE-B.ST,BUY,13.484539031982422,542.0,39
2015-10-09,SWED-A.ST,BUY,91.56010437011719,81.0,39
2015-10-09,SKA-B.ST,BUY,113.95426940917969,65.0,39
2015-10-16,SKA-B.ST,STOP_LOSS,98.15928649902344,65.0,39
2015-10-16,SWED-A.ST,RANK_EXIT,89.93173217773438,81.0,39
2015-10-16,BOL.ST,BUY,104.2759017944336,69.0,39
2015-10-23,HEXA-B.ST,BUY,39.11861038208008,192.0,39
2015-10-30,BOL.ST,RANK_EXIT,109.42616271972656,69.0,39
2015-10-30,SCA-B.ST,BUY,35.55682373046875,211.0,39
2015-11-06,SCA-B.ST,RANK_EXIT,35.27463150024414,211.0,39
2015-11-06,ALFA.ST,BUY,128.08892822265625,60.0,39
2015-11-13,ALFA.ST,RANK_EXIT,122.32939910888672,60.0,39
2015-11-13,ADDT-B.ST,BUY,26.461130142211914,289.0,39
2015-11-20,ADDT-B.ST,RANK_EXIT,26.5607967376709,289.0,39
2015-11-20,ASSA-B.ST,BUY,152.06063842773438,52.0,39
2015-11-27,NIBE-B.ST,RANK_EXIT,15.758255004882812,542.0,39
2015-11-27,BOL.ST,BUY,104.87788391113281,76.0,39
2015-12-04,BOL.ST,RANK_EXIT,101.19912719726562,76.0,39
2015-12-04,NIBE-B.ST,BUY,15.948634147644043,519.0,39
2015-12-11,ASSA-B.ST,RANK_EXIT,145.6448974609375,52.0,39
2015-12-11,ALFA.ST,BUY,122.49163818359375,65.0,39
2015-12-18,NIBE-B.ST,RANK_EXIT,15.100072860717773,519.0,39
2015-12-18,ASSA-B.ST,BUY,146.72808837890625,54.0,39
2015-12-25,ALFA.ST,RANK_EXIT,125.7364273071289,65.0,39
2015-12-25,ADDT-B.ST,BUY,28.10561180114746,284.0,39
2016-01-01,HEXA-B.ST,RANK_EXIT,43.437530517578125,192.0,39
2016-01-01,SCA-B.ST,BUY,34.780784606933594,232.0,39
2016-01-08,SCA-B.ST,RANK_EXIT,31.76127815246582,232.0,39
2016-01-08,HEXA-B.ST,BUY,40.167301177978516,186.0,39
2016-01-15,LIFCO-B.ST,RANK_EXIT,34.27553176879883,215.0,39
2016-01-15,SAAB-B.ST,RANK_EXIT,49.927974700927734,161.0,39
2016-01-15,ASSA-B.ST,RANK_EXIT,133.56338500976562,54.0,39
2016-01-15,ADDT-B.ST,RANK_EXIT,25.613977432250977,284.0,39
2016-01-15,HEXA-B.ST,RANK_EXIT,37.60078048706055,186.0,39
2016-01-22,SAAB-B.ST,BUY,51.75586700439453,140.0,39
2016-01-22,ASSA-B.ST,BUY,140.3956756591797,51.0,39
2016-01-22,SCA-B.ST,BUY,34.48447799682617,211.0,39
2016-01-29,SKA-B.ST,BUY,105.32139587402344,71.0,39
2016-02-05,SAAB-B.ST,RANK_EXIT,50.15389633178711,140.0,39
2016-02-05,ASSA-B.ST,RANK_EXIT,139.14585876464844,51.0,39
2016-02-05,SKA-B.ST,RANK_EXIT,101.74032592773438,71.0,39
2016-02-05,SKF-B.ST,BUY,101.42546081542969,71.0,39
2016-02-12,SKF-B.ST,RANK_EXIT,99.39555358886719,71.0,39
2016-02-12,SKA-B.ST,BUY,104.61797332763672,67.0,39
2016-02-19,SAAB-B.ST,BUY,54.75442123413086,132.0,39
2016-02-19,SKF-B.ST,BUY,101.56546783447266,71.0,39
2016-02-26,EVO.ST,RANK_EXIT,53.60486602783203,259.0,39
2016-02-26,SKF-B.ST,RANK_EXIT,98.41560363769531,71.0,39
2016-02-26,VOLV-B.ST,BUY,48.21516418457031,149.0,39
2016-02-26,ABB.ST,BUY,141.5956268310547,50.0,39
2016-02-26,LIFCO-B.ST,BUY,38.94537353515625,185.0,39
2016-03-04,SAAB-B.ST,RANK_EXIT,56.602840423583984,132.0,39
2016-03-04,ABB.ST,RANK_EXIT,145.11692810058594,50.0,39
2016-03-04,LIFCO-B.ST,RANK_EXIT,39.540382385253906,185.0,39
2016-03-04,SKF-B.ST,BUY,105.7652816772461,68.0,39
2016-03-04,ADDT-B.ST,BUY,27.607280731201172,263.0,39
2016-03-04,SAND.ST,BUY,60.90492630004883,119.0,39
2016-03-11,SCA-B.ST,RANK_EXIT,35.669700622558594,211.0,39
2016-03-11,ADDT-B.ST,RANK_EXIT,25.720699310302734,263.0,39
2016-03-11,SAAB-B.ST,BUY,55.801856994628906,127.0,39
2016-03-11,SHB-A.ST,BUY,51.557952880859375,137.0,39
2016-03-18,SKF-B.ST,RANK_EXIT,102.12545013427734,68.0,39
2016-03-18,SHB-A.ST,RANK_EXIT,50.601863861083984,137.0,39
2016-03-18,ABB.ST,BUY,148.73095703125,47.0,39
2016-03-18,SCA-B.ST,BUY,35.669700622558594,197.0,39
2016-03-25,SCA-B.ST,RANK_EXIT,35.57093811035156,197.0,39
2016-03-25,SKF-B.ST,BUY,101.21548461914062,69.0,39
2016-04-01,SAAB-B.ST,RANK_EXIT,56.500152587890625,127.0,39
2016-04-01,SCA-B.ST,BUY,35.48627471923828,200.0,39
2016-04-08,SCA-B.ST,RANK_EXIT,36.62917709350586,200.0,39
2016-04-08,HEXA-B.ST,BUY,44.15505599975586,160.0,39
2016-04-15,ABB.ST,RANK_EXIT,149.75033569335938,47.0,39
2016-04-15,SKF-B.ST,RANK_EXIT,103.34268188476562,69.0,39
2016-04-15,BOL.ST,BUY,88.82511901855469,81.0,39
2016-04-15,SCA-B.ST,BUY,39.724586486816406,181.0,39
2016-04-22,SKA-B.ST,RANK_EXIT,117.30421447753906,67.0,39
2016-04-22,SCA-B.ST,RANK_EXIT,38.90095520019531,181.0,39
2016-04-22,ATCO-A.ST,BUY,32.94475555419922,223.0,39
2016-04-22,SKF-B.ST,BUY,107.19709777832031,68.0,39
2016-04-29,SAND.ST,RANK_EXIT,63.428165435791016,119.0,39
2016-04-29,HEXA-B.ST,RANK_EXIT,44.18264389038086,160.0,39
2016-04-29,BOL.ST,RANK_EXIT,93.64095306396484,81.0,39
2016-04-29,SKF-B.ST,RANK_EXIT,107.56074523925781,68.0,39
2016-04-29,NIBE-B.ST,BUY,15.176227569580078,471.0,39
2016-04-29,SCA-B.ST,BUY,40.057212829589844,178.0,39
2016-04-29,SKA-B.ST,BUY,117.77102661132812,60.0,39
2016-04-29,SAAB-B.ST,BUY,57.53385925292969,124.0,39
2016-05-06,ATCO-A.ST,RANK_EXIT,30.268688201904297,223.0,39
2016-05-06,SCA-B.ST,RANK_EXIT,39.3286018371582,178.0,39
2016-05-06,SKA-B.ST,RANK_EXIT,117.43759155273438,60.0,39
2016-05-06,SAAB-B.ST,RANK_EXIT,57.72236251831055,124.0,39
