date,action,stock,ticker,shares,price,value_sek,fee_sek
2025-06-27,RANK_EXIT,Tele2,TEL2-B.ST,165,134.43,22182,39
2025-06-27,RANK_EXIT,Lifco,LIFCO-B.ST,53,393.08,20833,39
2025-06-27,BUY,SKF,SKF-B.ST,100,216.23,21623,39
2025-06-27,BUY,EQT,EQT.ST,68,313.83,21340,39
2025-07-04,RANK_EXIT,Handelsbanken,SHB-A.ST,195,110.77,21600,39
2025-07-04,BUY,NIBE,NIBE-B.ST,499,42.63,21274,39
2025-07-11,RANK_EXIT,SAAB,SAAB-B.ST,70,487.45,34122,51
2025-07-11,BUY,Sandvik,SAND.ST,95,226.11,21481,39
2025-07-18,RANK_EXIT,NIBE,NIBE-B.ST,499,43.29,21601,39
2025-07-18,BUY,SAAB,SAAB-B.ST,39,557.2,21731,39
2025-08-15,RANK_EXIT,SAAB,SAAB-B.ST,39,508.18,19819,39
2025-08-15,BUY,Evolution,EVO.ST,26,823.4,21408,39
2025-09-12,RANK_EXIT,SKF,SKF-B.ST,100,230.69,23069,39
2025-09-12,RANK_EXIT,Evolution,EVO.ST,26,792.0,20592,39
2025-09-12,BUY,ABB,ABB.ST,32,665.18,21286,39
2025-09-12,BUY,Hexagon,HEXA-B.ST,200,108.0,21600,39
2025-09-19,RANK_EXIT,EQT,EQT.ST,68,337.87,22975,39
2025-09-19,BUY,H&M,HM-B.ST,151,146.14,22067,39
2025-10-10,RANK_EXIT,ABB,ABB.ST,32,691.15,22117,39
2025-10-10,RANK_EXIT,Hexagon,HEXA-B.ST,200,112.25,22449,39
2025-10-10,BUY,Boliden,BOL.ST,58,394.1,22858,39
2025-10-10,BUY,AstraZeneca,AZN.ST,14,1619.64,22675,39
2025-10-24,RANK_EXIT,AstraZeneca,AZN.ST,14,1561.19,21857,39
2025-10-24,BUY,Ericsson,ERIC-B.ST,269,87.96,23662,39
2025-12-19,RANK_EXIT,H&M,HM-B.ST,151,179.95,27173,41
2025-12-19,BUY,AstraZeneca,AZN.ST,14,1699.57,23794,39
2025-12-23,RANK_EXIT,AstraZeneca,AZN.ST,14,1697.57,23766,39
2025-12-23,BUY,Nordea,NDA-SE.ST,145,171.78,24909,39
2026-01-09,RANK_EXIT,Ericsson,ERIC-B.ST,269,85.69,23052,39
2026-01-09,RANK_EXIT,Nordea,NDA-SE.ST,145,174.22,25262,39
2026-01-09,BUY,SAAB,SAAB-B.ST,38,680.77,25869,39
2026-01-09,BUY,Volvo,VOLV-B.ST,87,297.21,25857,39
2026-03-06,RANK_EXIT,Volvo,VOLV-B.ST,87,316.33,27521,41
2026-03-06,BUY,Tele2,TEL2-B.ST,150,186.03,27904,42
2026-03-19,TRAIL_STOP,Boliden,BOL.ST,58,546.46,31695,48
2026-03-20,BUY,Telia,TELIA.ST,570,46.02,26232,39
2026-03-27,RANK_EXIT,SAAB,SAAB-B.ST,38,590.63,22444,39
2026-03-27,BUY,Ericsson,ERIC-B.ST,250,104.5,26126,39
2026-04-17,RANK_EXIT,Ericsson,ERIC-B.ST,250,105.7,26425,40
2026-04-17,BUY,ABB,ABB.ST,31,880.0,27280,41
2026-04-30,RANK_EXIT,Sandvik,SAND.ST,95,383.1,36395,55
2026-04-30,BUY,Evolution,EVO.ST,42,642.4,26981,40
2026-05-08,RANK_EXIT,Tele2,TEL2-B.ST,150,178.93,26840,40
2026-05-08,BUY,Ericsson,ERIC-B.ST,252,109.6,27619,41
2026-05-29,RANK_EXIT,Telia,TELIA.ST,570,49.51,28221,42
2026-05-29,BUY,Epiroc,EPI-A.ST,105,274.7,28844,43
2026-06-12,RANK_EXIT,Ericsson,ERIC-B.ST,252,116.6,29383,44
2026-06-12,BUY,Atlas Copco,ATCO-A.ST,154,185.95,28636,43
2026-06-26,RANK_EXIT,Evolution,EVO.ST,42,658.2,27644,41
2026-06-26,RANK_EXIT,Epiroc,EPI-A.ST,105,255.9,26869,40
2026-06-26,BUY,Lifco,LIFCO-B.ST,89,316.2,28142,42
2026-06-26,BUY,Essity,ESSITY-B.ST,101,278.3,28108,42
