date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2010-10-29,SIP,,monthly deposit,,,25000.0,0,contribution,125000,125000
2010-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,150000,150000
2010-11-26,BUY,HM-B.ST,H&M,199,125.56,24986.0,39,dip to support,124975,149961
2010-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,149975,175320
2011-01-03,SIP,,monthly deposit,,,25000.0,0,contribution,174975,199022
2011-01-07,BUY,TELIA.ST,Telia,1585,20.86,33071.0,50,dip to support,141855,198445
2011-01-07,BUY,TEL2-B.ST,Tele2,873,37.86,33056.0,50,dip to support,108749,198395
2011-01-31,SELL,HM-B.ST,H&M,199,112.19,22327.0,39,"support broke (entry 125.56, P/L -10.6%)",131037,196082
2011-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,156037,221785
2011-02-04,BUY,ASSA-B.ST,Assa Abloy,812,45.65,37068.0,56,dip to support,118914,222586
2011-02-04,BUY,ATCO-A.ST,Atlas Copco,1853,20.02,37089.0,56,dip to support,81769,222531
2011-02-25,BUY,SHB-A.ST,Handelsbanken,1474,24.93,36754.0,55,dip to support,44960,220526
2011-02-25,BUY,SAND.ST,Sandvik,494,74.36,36735.0,55,dip to support,8170,220471
2011-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,33170,245618
2011-03-15,SELL,ASSA-B.ST,Assa Abloy,812,42.91,34841.0,52,"support broke (entry 45.65, P/L -6.0%)",67958,235588
2011-03-16,SELL,TEL2-B.ST,Tele2,873,34.14,29807.0,45,"support broke (entry 37.86, P/L -9.8%)",97721,233839
2011-03-18,BUY,ABB.ST,ABB,298,133.03,39642.0,59,dip to support,58020,238336
2011-03-18,BUY,VOLV-B.ST,Volvo,787,50.47,39722.0,60,dip to support,18238,238276
2011-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,43238,276098
2011-04-21,SELL,TELIA.ST,Telia,1585,19.61,31077.0,47,"support broke (entry 20.86, P/L -6.0%)",74269,277006
2011-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,99269,306733
2011-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,124269,326775
2011-06-17,BUY,ADDT-B.ST,Addtech,5282,9.91,52321.0,78,dip to support,71870,313895
2011-06-20,SELL,SAND.ST,Sandvik,494,67.33,33261.0,50,"support broke (entry 74.36, P/L -9.5%)",105081,310604
2011-06-23,SELL,SHB-A.ST,Handelsbanken,1474,22.83,33652.0,50,"support broke (entry 24.93, P/L -8.4%)",138682,308952
2011-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,163682,342960
2011-07-01,BUY,INVE-B.ST,Investor,2284,25.02,57151.0,86,dip to support,106446,342874
2011-07-01,BUY,SWED-A.ST,Swedbank,1441,39.64,57122.0,86,dip to support,49238,342788
